#{"t_start": 1764645280.8512561, "env_id": "None"}
r,l,t
-151.449117,1,0.588334
-147.524582,1,0.589166
-8270.261478,152,0.64819
-156.871809,1,0.648736
-141.542125,1,0.649175
-152.740829,1,0.649609
-163.986594,1,0.650058
-135.36864,1,0.650559
-140.334101,1,0.651073
-6849.060691,179,0.717132
-133.119239,1,0.717617
-157.277665,1,0.718066
-8466.456482,174,0.779992
-154.909889,1,0.78056
-9579.215804,289,0.885329
-7150.051052,175,0.946878
-150.714025,1,0.947369
-145.740857,1,0.947789
-148.571563,1,0.94822
-137.160025,1,0.948656
-150.987127,1,0.949078
-138.679338,1,0.949501
-160.593824,1,0.949922
-139.592748,1,0.950357
-13176.026895,284,1.048057
-4609.908696,179,1.110983
-8031.737238,174,1.173867
-11659.120423,268,1.269282
-4221.347049,140,1.320463
-5142.881555,215,2.217211
-145.946898,1,2.217728
-11388.596948,197,2.285084
-1196.005827,19,2.292749
-13766.046765,299,2.397289
-7408.575609,196,2.462808
-144.831027,1,2.463288
-2226.980331,42,2.477395
-150.102277,1,2.477813
-312.956088,7,2.480226
-138.492384,1,2.480646
-10297.669158,296,2.583409
-159.475247,1,2.584016
-143.779723,1,2.584512
-155.617565,1,2.584963
-5979.881234,111,2.624907
-6962.867805,134,2.669882
-5734.328355,156,2.723476
-159.068096,1,2.72396
-3973.673459,144,2.772809
-5716.149127,239,2.854089
-14535.731541,257,3.735019
-136.91754,1,3.735531
-3894.971594,206,3.806122
-145.13617,1,3.806593
-15104.145451,263,3.895911
-146.342154,1,3.896376
-150.796701,1,3.896801
-8515.921944,165,3.952081
-10647.485565,269,4.043885
-12419.619855,249,4.129136
-143.649316,1,4.12962
-132.890575,1,4.130041
-150.230444,1,4.130463
-133.73283,1,4.130876
-850.701546,17,4.136665
-8727.397754,192,4.202138
-142.953877,1,4.202585
-155.495079,1,4.202999
-8508.969895,298,4.304391
-146.135301,1,4.304871
-139.304996,1,4.305298
-164.82199,1,4.305718
-163.439821,1,4.306132
-155.898691,1,4.306552
-135.123789,1,4.306986
-8110.311612,289,5.22273
-153.914931,1,5.223227
-165.836884,1,5.223664
-162.864623,1,5.22409
-143.721056,1,5.22451
-138.579661,1,5.224925
-15675.760782,337,5.355568
-7070.929834,287,5.462928
-139.275065,1,5.463467
-137.703404,1,5.463911
-135.24821,1,5.464357
-14300.720834,325,5.588422
-154.146422,1,5.589042
-21018.34705,383,5.724185
-157.573257,1,5.724829
-138.102936,1,5.725572
-6299.759429,149,5.778772
-9528.863794,204,5.849822
