#{"t_start": 1764787575.286013, "env_id": "None"}
r,l,t,success
-38.77006,260,0.846796,False
-35.015264,297,1.02918,False
-38.689643,285,1.200205,False
-37.254812,279,1.370081,False
-37.307059,262,1.525204,False
-34.842469,348,1.730351,False
-36.003453,342,3.961904,False
-41.836313,257,4.127261,False
-39.164471,264,4.285826,False
-33.053967,288,4.457431,False
-33.937696,256,4.612886,False
-39.042649,284,4.781989,False
-37.619318,252,4.931449,False
-42.514084,254,5.087253,False
-32.256778,297,7.307751,False
-39.743883,285,7.485394,False
-36.066875,307,7.667748,False
-43.916295,280,7.824268,False
-34.32609,341,8.015282,False
-39.511602,310,8.200237,False
-40.581376,265,8.360242,False
-34.042336,358,10.477383,False
-40.900987,260,10.634178,False
-36.375431,272,10.79455,False
-40.543488,253,10.944928,False
-36.614283,271,11.109965,False
-39.156714,265,11.270161,False
-37.498676,257,11.42292,False
-41.760083,261,13.509837,False
-38.639488,260,13.670226,False
-38.198056,263,13.827552,False
-37.744437,277,13.992875,False
-31.743167,285,14.160997,False
-31.089396,335,14.374787,False
-38.287012,348,14.585664,False
-39.874448,289,16.672214,False
-38.175044,258,16.828287,False
-36.570253,269,16.989666,False
-40.730146,261,17.148914,False
-35.233355,266,17.308897,False
-39.563509,312,17.494428,False
-34.548828,280,17.662981,False
-40.213127,255,17.816556,False
-36.585633,260,19.885314,False
-42.944975,241,20.078053,False
-31.147026,295,20.263155,False
-43.597004,249,20.419631,False
-36.956862,317,20.615511,False
-42.18816,254,20.768764,False
-41.357445,267,20.931674,False
-40.179939,256,21.084123,False
-37.687676,315,23.210787,False
-38.566161,260,23.371235,False
-40.546506,266,23.532508,False
-36.472553,313,23.718643,False
-39.171358,255,23.867653,False
-33.098228,336,24.071117,False
-40.959834,243,24.221782,False
-40.10923,291,26.311428,False
-33.81979,305,26.501089,False
-26.966749,316,26.703429,False
-44.221593,249,26.856139,False
-38.834236,342,27.066017,False
-30.686867,311,27.243601,False
-37.574,266,27.389628,False
-43.136347,248,29.465765,False
-41.947037,255,29.616702,False
-32.450025,305,29.800392,False
-36.368792,296,29.977814,False
-41.718634,261,30.132354,False
-44.070975,249,30.286486,False
-35.852169,284,30.450008,False
-38.155388,276,32.550677,False
-23.318041,305,32.733451,False
-32.020022,282,32.912637,False
-41.920044,245,33.063603,False
-36.019368,280,33.229342,False
