#{"t_start": 1764787575.2858071, "env_id": "None"}
r,l,t,success
4.283077,308,101.538039,False
-2.615993,302,101.777875,False
5.428622,307,101.995209,False
-1.161671,302,104.345173,False
4.054559,306,104.563028,False
6.979745,309,104.778504,False
6.11347,308,104.994476,False
6.8867,308,105.206717,False
6.012202,308,105.518997,False
-0.663588,302,105.941701,False
7.652497,309,108.489558,False
5.025195,308,108.724228,False
7.99864,309,108.928106,False
3.296598,308,109.130178,False
-12.955993,281,109.309166,False
-12.777164,284,109.497676,False
5.49891,308,109.703156,False
8.267935,308,111.940424,False
1.929572,301,112.159013,False
6.003654,307,112.378662,False
5.109024,305,112.580423,False
8.809254,309,112.77608,False
5.935517,307,112.970574,False
-7.132997,294,115.580439,False
9.040854,308,115.80873,False
9.041668,309,116.157739,False
11.214127,310,116.410181,False
6.385931,308,116.636769,False
4.297625,307,116.903069,False
9.195741,309,117.173599,False
2.758364,301,119.628309,False
10.327324,309,119.860942,False
10.608016,309,120.174251,False
7.427732,308,120.475403,False
11.29946,310,120.708371,False
9.521714,310,120.934312,False
9.977434,309,121.162144,False
0.752899,302,123.73954,False
10.520122,309,123.954605,False
9.164832,309,124.165704,False
12.06834,309,124.377316,False
9.916606,309,124.642502,False
7.776445,308,124.858702,False
9.676635,306,127.400429,False
12.016513,310,127.620035,False
12.062045,310,127.837348,False
1.909227,303,128.047146,False
7.966994,308,128.264485,False
11.927156,310,128.478935,False
9.707908,309,128.700881,False
9.019922,308,131.062582,False
11.959226,310,131.299828,False
9.652041,309,131.516594,False
6.126083,307,131.787648,False
9.405722,309,132.078664,False
10.385336,309,132.329052,False
7.132448,307,132.546681,False
10.025549,309,135.091986,False
7.668865,306,135.318678,False
12.436317,310,135.538264,False
12.495876,310,135.748913,False
9.108238,306,136.015418,False
11.994338,310,136.249089,False
8.388439,307,138.76676,False
10.13029,309,139.001054,False
11.461584,310,139.219922,False
11.587998,310,139.440645,False
10.208161,309,139.654672,False
-7.47134,292,139.856329,False
10.952995,309,140.084426,False
10.90865,310,142.412511,False
12.818847,311,142.710243,False
10.237129,309,142.978022,False
13.958315,310,143.211149,False
8.333495,308,143.431851,False
10.789017,308,143.646784,False
15.069273,310,143.863046,False
13.577301,311,146.427986,False
13.695967,311,146.653818,False
12.999814,311,146.875589,False
13.885506,311,147.089996,False
-1.917964,298,147.306723,False
9.971915,308,147.52799,False
12.527264,310,149.825865,False
11.83994,310,150.050007,False
14.193384,310,150.305496,False
12.601312,308,150.535931,False
14.050514,311,150.793844,False
14.221524,311,151.083452,False
12.262571,310,151.389987,False
10.600671,309,153.722499,False
11.779635,310,153.94727,False
14.238248,310,154.167933,False
5.170739,304,154.393146,False
10.632869,309,154.625754,False
16.231333,310,154.853994,False
11.985775,310,157.28976,False
14.204191,310,157.509558,False
15.633528,311,157.725697,False
10.041329,308,157.989254,False
11.72836,310,158.304067,False
11.734106,310,158.5837,False
12.824821,311,158.839012,False
14.042805,310,161.318663,False
8.375421,306,161.563136,False
13.562314,311,161.81733,False
12.257535,311,162.061045,False
11.692378,310,162.320389,False
11.841978,310,162.661015,False
11.545326,310,163.014363,False
11.853332,310,165.473248,False
12.585687,310,165.698238,False
13.507178,311,165.929793,False
13.922724,311,166.157871,False
12.990901,311,166.387173,False
12.561942,310,166.612388,False
13.774411,311,169.078363,False
13.190528,311,169.311152,False
13.31946,311,169.539397,False
8.284925,307,169.856803,False
12.781295,310,170.157862,False
13.016886,312,170.450748,False
12.74312,311,170.700193,False
12.601549,310,173.339387,False
11.059695,309,173.624897,False
13.886646,311,173.927963,False
13.516885,310,174.16632,False
10.646407,309,174.391675,False
11.975043,310,174.614527,False
12.171729,310,177.173268,False
12.475123,310,177.493001,False
14.932477,312,177.787472,False
12.701402,312,178.01524,False
12.110338,311,178.235119,False
13.902041,311,178.5564,False
13.647802,310,178.851768,False
13.350638,311,181.446383,False
12.963335,311,181.686791,False
12.891694,311,182.003781,False
13.791088,311,182.371398,False
12.046744,311,182.610874,False
12.416753,311,182.841233,False
12.051278,311,183.067447,False
13.254153,311,185.704898,False
12.57902,312,185.938253,False
13.449201,312,186.157819,False
11.730541,311,186.378265,False
12.200057,312,186.61476,False
12.846642,312,186.841994,False
12.492773,311,189.385761,False
11.719255,311,189.706434,False
12.960593,311,189.91498,False
13.440399,311,190.116307,False
12.0261,311,190.315306,False
11.944669,312,190.514051,False
12.151105,312,190.710642,False
12.044519,311,192.924759,False
9.725269,308,193.129442,False
11.115795,309,193.383852,False
11.427006,311,193.648924,False
13.20459,312,193.87356,False
12.055742,311,194.078925,False
12.520952,311,196.352652,False
12.610848,312,196.561497,False
13.018351,312,196.774079,False
12.922569,312,196.9816,False
12.073017,311,197.199345,False
13.184451,312,197.434771,False
13.305284,311,197.729134,False
15.161899,311,200.114938,False
13.025135,312,200.414739,False
13.939752,311,200.728277,False
12.920477,312,200.977205,False
15.546208,311,201.218064,False
15.033979,311,201.452801,False
15.228322,310,201.688885,False
11.488568,311,204.584078,False
12.435243,312,204.864368,False
15.677521,312,205.086618,False
15.076313,311,205.341414,False
12.212003,312,205.611862,False
13.179112,310,205.906757,False
14.722471,311,208.525708,False
12.120926,311,208.755169,False
11.854573,311,209.016132,False
14.226557,311,209.25704,False
12.126077,312,209.485261,False
10.066858,307,209.714045,False
12.375653,311,209.932299,False
14.607872,312,212.510077,False
12.207932,311,212.729712,False
11.402023,312,212.936337,False
12.185771,312,213.169885,False
12.749335,311,213.421274,False
12.509855,312,213.709885,False
11.948197,312,216.406792,False
11.865964,312,216.686921,False
15.562747,311,217.113949,False
12.236931,312,217.424326,False
12.264121,312,217.713744,False
12.198628,312,217.964454,False
11.320357,312,218.217312,False
11.829578,311,220.819338,False
13.409012,311,221.061926,False
14.237508,311,221.39243,False
13.640055,312,221.705653,False
12.586312,311,221.984837,False
10.744215,312,222.215971,False
12.755563,312,224.776746,False
14.80208,311,224.98336,False
13.050427,312,225.210951,False
11.625388,311,225.435754,False
11.857771,312,225.726376,False
14.051026,310,225.992015,False
14.335355,312,226.214769,False
15.635249,311,228.779751,False
13.019285,312,229.000767,False
11.468238,311,229.217164,False
11.337608,312,229.422467,False
12.213301,310,229.621875,False
14.701058,312,229.824926,False
13.009168,312,230.033219,False
16.00852,311,232.703832,False
16.849313,311,233.005291,False
14.851144,312,233.244593,False
15.878644,311,233.460047,False
12.783801,311,233.712939,False
13.191276,312,233.986678,False
12.183448,312,236.756794,False
11.97593,311,236.974225,False
15.456211,311,237.182203,False
15.454741,311,237.380908,False
12.887862,312,237.593888,False
14.590232,311,237.829291,False
12.049501,312,238.07541,False
12.383464,312,240.540318,False
16.765836,311,240.75417,False
13.380368,312,240.978713,False
13.094315,311,241.199111,False
15.67258,311,241.41985,False
16.392171,311,241.637228,False
12.891994,312,244.155866,False
15.168034,311,244.389463,False
12.177958,312,244.651814,False
12.593035,311,244.879891,False
11.551106,312,245.117584,False
11.979762,312,245.410428,False
11.617122,311,245.703015,False
13.438117,311,248.274395,False
16.520559,311,248.528006,False
11.914572,312,248.81661,False
11.833495,312,249.272612,False
12.20601,312,249.586433,False
13.247071,311,249.803149,False
12.667743,312,252.268445,False
12.480964,312,252.484193,False
12.559842,312,252.69502,False
16.480878,311,252.917586,False
12.493085,312,253.152133,False
18.557657,311,253.39977,False
11.562373,311,253.622906,False
12.00558,312,256.320033,False
11.999736,312,256.557921,False
12.639257,312,256.780433,False
16.603877,311,257.02192,False
14.45559,311,257.251906,False
10.620962,312,257.613071,False
10.497515,312,257.898628,False
12.411733,311,260.399133,False
12.091225,312,260.612536,False
12.363909,312,260.831149,False
12.109823,312,261.054387,False
15.262372,311,261.276895,False
12.407004,312,261.496241,False
10.37366,312,264.19306,False
11.511903,311,264.406684,False
11.116468,312,264.628179,False
16.320393,311,264.849327,False
11.363294,311,265.066748,False
10.71713,312,265.289632,False
16.849431,311,265.510611,False
13.186017,311,267.785395,False
13.724826,311,268.001318,False
13.353352,311,268.211688,False
11.025274,312,268.423025,False
16.826449,312,268.635087,False
16.565774,311,268.852862,False
15.916591,311,271.140334,False
12.875994,312,271.358668,False
12.250782,312,271.564598,False
16.600443,311,271.768182,False
15.439721,311,271.97839,False
11.900899,312,272.191158,False
16.815314,311,272.398205,False
15.661084,311,275.093905,False
16.851965,311,275.3021,False
13.752008,312,275.512042,False
17.083864,312,275.726523,False
12.38305,312,275.94079,False
12.440268,312,276.186635,False
12.032551,311,278.987596,False
14.789791,311,279.194618,False
17.001208,311,279.418862,False
10.734203,312,279.638444,False
16.146043,311,279.849279,False
12.719331,312,280.060972,False
13.336439,312,280.269558,False
13.521754,312,282.501846,False
12.379018,312,282.702234,False
16.293392,311,282.903191,False
17.025959,311,283.104813,False
17.14786,311,283.310708,False
12.837404,312,283.520042,False
9.501529,308,283.722749,False
11.937125,311,285.959137,False
12.848189,311,286.158262,False
12.533194,312,286.365492,False
17.86957,312,286.589401,False
14.84699,312,286.803322,False
16.051525,311,287.020003,False
12.285299,312,290.153616,False
13.217476,311,290.399296,False
12.269696,312,290.659304,False
12.051407,312,290.892682,False
10.696741,312,291.130848,False
15.428043,311,291.375251,False
17.216762,311,291.621011,False
16.600522,311,295.145794,False
16.054072,311,295.483529,False
17.234559,311,295.784214,False
12.747009,312,296.05082,False
16.876227,311,296.333388,False
16.259444,311,296.610626,False
17.45913,311,299.962626,False
17.384033,311,300.238734,False
12.438151,312,300.484072,False
17.911969,311,300.723331,False
4.020063,304,300.999136,False
18.31193,311,301.333788,False
16.824778,311,301.577117,False
10.392387,312,304.070412,False
11.641757,311,304.349293,False
12.449995,307,304.77542,False
11.783948,311,305.011346,False
17.459146,311,305.225239,False
14.35826,311,305.456008,False
11.58899,310,305.69629,False
15.972444,311,308.698081,False
-15.26209,292,308.925593,False
19.098868,311,309.174818,False
17.435275,311,309.408419,False
13.144523,311,309.625184,False
15.775509,311,309.844407,False
15.299283,312,312.252991,False
16.456762,311,312.491519,False
-23.669005,282,312.803909,False
16.464396,311,313.11188,False
13.40812,312,313.473985,False
14.22985,312,313.729999,False
16.534253,312,313.952526,False
-12.634676,295,316.811042,False
14.761526,311,317.228701,False
16.476834,311,317.460498,False
12.273155,312,317.742954,False
17.14902,311,317.988462,False
12.719913,312,318.224995,False
12.998449,312,320.662802,False
-1.050924,302,320.877863,False
17.505233,311,321.140676,False
17.67124,311,321.384306,False
12.160464,311,321.615234,False
15.346214,311,321.835043,False
16.86742,311,322.045329,False
18.62144,311,324.276971,False
17.031852,312,324.574858,False
17.201577,311,324.84153,False
15.83686,311,325.107313,False
17.037372,311,325.31907,False
15.903286,311,325.543462,False
14.388464,312,325.76045,False
16.012436,311,328.62678,False
-8.453404,297,328.834546,False
17.851482,310,329.066181,False
15.758346,311,329.28859,False
16.796126,312,329.50811,False
17.110424,311,329.728535,False
14.404956,312,333.131574,False
17.232117,312,333.798437,False
13.731078,312,334.160024,False
16.34404,311,334.421621,False
16.727874,312,334.67584,False
12.431879,311,334.950814,False
11.310392,312,335.567469,False
16.558708,311,339.281629,False
17.339597,312,339.476193,False
16.36441,312,339.687424,False
13.055663,312,339.879215,False
16.736848,311,340.073546,False
3.763889,304,340.261629,False
17.050201,312,343.251029,False
16.40156,311,343.544605,False
19.265382,310,343.770526,False
16.710741,312,343.985691,False
17.029902,312,344.203898,False
16.571327,312,344.419473,False
16.900043,310,344.657047,False
17.271811,311,347.148689,False
13.346996,310,347.363815,False
16.426857,311,347.567248,False
11.649907,312,347.774548,False
16.770243,311,347.98713,False
17.211865,312,348.199124,False
15.853145,311,348.406531,False
16.836665,312,351.033799,False
16.547726,312,351.314882,False
17.314391,312,351.526846,False
14.402908,311,351.728457,False
16.568427,311,351.939947,False
15.293787,312,352.178649,False
15.882864,311,354.575439,False
-17.576797,294,354.789978,False
17.973067,312,355.021169,False
16.129228,311,355.381922,False
16.255911,311,356.403815,False
15.969749,312,356.665307,False
16.305786,311,356.904203,False
17.074533,309,360.152057,False
17.361688,311,360.363655,False
17.386147,312,360.562856,False
16.584001,311,360.767903,False
16.451992,311,360.98657,False
15.426017,311,361.187157,False
12.522157,312,363.348967,False
16.896728,311,363.560972,False
18.922005,312,363.766893,False
17.048965,311,363.969248,False
16.595725,311,364.188658,False
17.252432,311,364.412341,False
17.137994,311,364.61055,False
13.212977,311,366.94031,False
14.388779,310,367.163122,False
16.243099,311,367.388619,False
12.451374,311,367.604863,False
14.550626,310,367.834782,False
13.255798,311,368.04549,False
17.534345,311,368.2673,False
17.06214,312,370.625751,False
16.355318,312,370.946621,False
17.427961,312,371.221428,False
17.961479,312,371.447963,False
16.265255,311,371.670281,False
16.852838,312,371.886551,False
18.650012,312,374.252047,False
16.672055,312,374.490931,False
16.706567,312,374.716634,False
16.939901,311,374.936154,False
15.630332,311,375.161263,False
-26.47322,288,375.368087,False
14.529932,310,375.588365,False
11.653154,310,378.046349,False
16.248124,312,378.272072,False
17.248236,312,378.493193,False
16.943249,311,378.707808,False
17.948017,312,378.930166,False
16.430046,311,379.146401,False
16.232147,311,381.650399,False
17.473043,312,381.867139,False
16.441972,310,382.090826,False
17.376505,312,382.307625,False
-1.341691,303,382.514777,False
16.824299,312,382.76923,False
16.918537,312,383.026464,False
16.650394,312,385.564188,False
17.099866,312,385.776507,False
17.304574,312,385.994457,False
15.587322,312,386.21693,False
17.861543,312,386.443076,False
17.648575,311,386.711351,False
15.956546,311,386.949905,False
16.593609,312,389.45665,False
17.447326,312,389.657338,False
-15.333982,298,389.873366,False
18.12259,312,390.095188,False
15.936117,311,390.307163,False
16.302975,309,390.559452,False
16.701732,312,393.166084,False
17.308012,312,393.410126,False
17.32555,312,393.661007,False
18.183434,312,393.897514,False
17.122451,312,394.132737,False
18.006593,312,394.409122,False
18.632525,312,394.620234,False
16.586369,312,397.152877,False
16.36538,312,397.406972,False
14.190176,312,397.728107,False
16.953077,312,397.962656,False
17.025313,312,398.186514,False
18.951695,312,398.397462,False
16.427413,311,400.868203,False
17.651358,312,401.075206,False
17.247083,312,401.280164,False
16.649046,311,401.48382,False
17.932936,312,401.689521,False
15.887419,311,401.897148,False
11.433157,308,402.111101,False
11.629172,310,404.432181,False
17.450129,312,404.642174,False
10.547258,307,404.872734,False
17.977856,312,405.101049,False
18.818776,312,405.386014,False
18.291598,312,405.635988,False
18.172367,312,408.121475,False
19.608517,312,408.34163,False
18.076714,312,408.552267,False
19.030738,312,408.76444,False
18.079101,312,408.969566,False
17.54426,311,409.18204,False
18.302928,312,409.381521,False
19.341683,313,411.721629,False
18.447496,312,411.947472,False
18.398065,312,412.17303,False
-12.922546,301,412.374448,False
17.039998,311,412.596214,False
18.147336,312,412.809294,False
15.923191,312,413.038279,False
19.083222,312,415.566029,False
19.553321,313,415.811563,False
17.905263,312,416.038411,False
17.924961,312,416.2537,False
18.926596,312,416.46502,False
18.506404,312,416.685683,False
18.212167,312,419.231894,False
17.071156,312,419.584412,False
19.366979,313,419.842816,False
18.978268,312,420.067104,False
19.526742,312,420.291989,False
18.490161,312,420.504345,False
18.655419,312,420.722381,False
17.927291,311,423.165057,False
20.639584,313,423.380749,False
13.334687,311,423.597404,False
19.27263,312,423.807903,False
19.245466,312,424.02117,False
19.621958,313,424.257697,False
18.698773,312,426.786281,False
17.89429,311,427.008389,False
20.799487,313,427.220224,False
20.371351,313,427.453357,False
19.567567,313,427.672255,False
19.999215,313,427.95127,False
19.288188,313,428.231886,False
