#{"t_start": 1764787633.444598, "env_id": "None"}
r,l,t,success
17.645056,314,134.975355,False
17.635388,314,135.237403,False
17.639641,314,137.816957,False
17.670492,314,138.029011,False
17.615062,314,138.23927,False
17.639137,314,138.456255,False
17.715272,314,138.680021,False
17.632936,314,138.899674,False
17.607555,314,139.125785,False
17.653346,314,141.818506,False
17.61839,314,142.107177,False
17.626165,314,142.399887,False
17.635309,314,142.707821,False
17.585014,314,142.967453,False
17.649557,314,143.213152,False
17.677685,314,146.364225,False
17.599301,314,146.646292,False
17.623953,314,146.886985,False
17.602045,314,147.141009,False
17.595622,314,147.427973,False
17.653328,314,147.728721,False
17.566606,314,147.985889,False
17.602041,314,150.858818,False
17.60035,314,151.105449,False
17.599579,314,151.344643,False
17.593875,314,151.585817,False
17.732171,314,151.812655,False
17.594016,314,152.053238,False
17.63332,314,154.834373,False
17.739296,314,155.075588,False
17.60001,314,155.349655,False
17.74452,314,155.686613,False
17.606747,314,156.014252,False
17.602749,314,156.365683,False
17.74282,314,156.588297,False
17.631246,314,159.697654,False
17.611604,314,159.954849,False
17.630127,314,160.218862,False
17.623178,314,160.545401,False
17.747975,314,160.82879,False
17.604135,314,161.055171,False
17.641783,314,163.990503,False
17.612008,314,164.24094,False
17.62627,314,164.480952,False
17.621393,314,164.703535,False
17.62349,314,164.950241,False
17.635038,314,165.186882,False
17.616701,314,165.467572,False
17.668608,314,168.28268,False
17.617076,314,168.56438,False
17.631205,314,168.809262,False
17.683201,314,169.034886,False
17.634193,314,169.250691,False
17.64671,314,169.475697,False
17.668609,314,172.22389,False
17.608652,314,172.523515,False
17.654084,314,172.855513,False
17.713847,314,173.112494,False
17.604041,314,173.326323,False
17.631427,314,173.542563,False
17.611892,314,173.796172,False
17.606154,314,176.790414,False
17.605596,314,177.01971,False
17.713862,314,177.245506,False
17.724232,314,177.470223,False
17.750562,314,177.743769,False
17.628479,314,178.073867,False
17.610915,314,180.850457,False
17.683138,314,181.068928,False
17.608287,314,181.29544,False
17.60097,314,181.547527,False
17.597676,314,181.790673,False
17.668014,314,182.021946,False
17.619937,314,182.266653,False
17.608601,314,184.890625,False
17.607227,314,185.139057,False
17.608615,314,185.457049,False
17.744581,314,185.742335,False
17.739737,314,185.96844,False
17.640156,314,186.198479,False
17.658184,314,189.269352,False
17.605732,314,189.48477,False
17.60442,314,189.692992,False
17.712818,314,189.898668,False
17.729713,314,190.11914,False
17.748541,314,190.385675,False
17.630683,314,190.697112,False
17.617137,314,193.709073,False
17.604117,314,193.922034,False
17.594134,314,194.140206,False
17.7464,314,194.364158,False
17.623655,314,194.580117,False
17.605376,314,194.810909,False
17.626959,314,197.725476,False
17.612525,314,198.005448,False
17.742333,314,198.257602,False
17.68081,314,198.493262,False
17.600226,314,198.725344,False
17.632754,314,198.976159,False
17.638977,314,199.282823,False
17.605812,314,202.160033,False
17.599969,314,202.382274,False
17.604822,314,202.605457,False
17.605672,314,202.83804,False
17.746202,314,203.069031,False
17.624746,314,203.30034,False
17.604008,314,206.220948,False
17.666402,314,206.450836,False
17.602372,314,206.679421,False
17.609222,314,206.909119,False
17.620091,314,207.139899,False
17.699996,314,207.37433,False
17.732889,314,207.590868,False
17.614952,314,210.103853,False
17.604007,314,210.32513,False
17.626702,314,210.546332,False
17.654111,314,210.771212,False
17.707202,314,210.993919,False
17.654239,314,211.199576,False
17.616817,314,211.409009,False
17.734657,314,213.954237,False
17.604565,314,214.169849,False
17.682458,314,214.389163,False
17.624245,314,214.619522,False
17.577887,314,214.934762,False
17.647206,314,215.282847,False
17.733164,314,218.030356,False
17.693873,314,218.331046,False
17.607488,314,218.610489,False
17.635264,314,218.826036,False
17.708245,314,219.051084,False
17.70979,314,219.279116,False
17.607065,314,219.539157,False
17.736583,314,222.389416,False
17.603455,314,222.596417,False
17.748287,314,222.806111,False
17.602382,314,223.01687,False
17.604799,314,223.226704,False
17.64554,314,223.437121,False
17.685231,314,225.905127,False
17.748772,314,226.116395,False
17.626263,314,226.331958,False
17.649223,314,226.543679,False
17.602161,314,226.762983,False
17.623287,314,226.974368,False
17.611817,314,227.182339,False
17.603624,314,229.682261,False
17.74035,314,229.904444,False
17.604559,314,230.117213,False
17.673367,314,230.335084,False
17.611238,314,230.593479,False
17.607526,314,231.30741,False
17.63707,314,234.694604,False
17.621196,314,235.047939,False
17.606082,314,235.453819,False
17.747859,314,235.785169,False
17.730494,314,236.137183,False
17.670519,314,236.494084,False
17.745671,314,236.846862,False
17.60498,314,240.240262,False
17.609932,314,240.507296,False
17.70896,314,240.78644,False
17.740048,314,241.374867,False
17.665516,314,241.7203,False
17.614572,314,241.994481,False
17.681629,314,244.888655,False
17.629859,314,245.15375,False
17.604853,314,245.395691,False
17.609238,314,245.644644,False
17.680276,314,245.890909,False
17.748376,314,246.169752,False
17.731459,314,246.607791,False
17.604396,314,249.572048,False
17.624048,314,250.01442,False
17.612582,314,250.300332,False
17.72516,314,250.568192,False
17.607038,314,250.824743,False
17.617837,314,251.084833,False
17.677979,314,253.750011,False
17.605529,314,253.971839,False
17.60002,314,254.209716,False
17.746665,314,254.545928,False
17.638673,314,254.867084,False
17.609298,314,255.248274,False
17.60402,314,255.510399,False
17.596141,314,258.610921,False
17.604493,314,259.049965,False
17.605787,314,259.29112,False
17.606014,314,259.574241,False
17.703365,314,259.827058,False
