#{"t_start": 1764740164.1585522, "env_id": "None"}
r,l,t,success
-1333.543009,261,0.972052,False
-1179.778982,241,1.143291,False
-1240.264145,248,1.310169,False
-1169.920637,241,1.450288,False
-1162.606184,239,1.579418,False
-1286.069999,258,1.709782,False
-1517.584618,285,1.846733,False
-1341.648457,260,1.982028,False
-1170.414714,237,4.054315,False
-1241.136781,247,4.183087,False
-1388.010587,271,4.316527,False
-1189.700039,239,4.431805,False
-1164.591641,239,4.5535,False
-1303.400486,258,4.686899,False
-1837.372791,323,4.839942,False
-1489.73796,280,7.087576,False
-1179.172865,239,7.2451,False
-1306.095528,256,7.384058,False
-1975.573614,325,7.583829,False
-2178.724086,342,7.836926,False
-1150.272977,236,7.975693,False
-1219.081896,241,8.114984,False
-1402.267051,267,8.255651,False
-1157.790381,232,10.424701,False
-1163.17644,234,10.579705,False
-1469.818165,271,10.759725,False
-1224.051232,243,10.896931,False
-1286.10625,252,11.052773,False
-1450.280166,264,11.246613,False
-1550.591624,278,11.473956,False
-2066.024403,326,11.656348,False
-1687.394211,289,13.848769,False
-1296.44059,247,13.987151,False
-1352.099603,257,14.139031,False
-1320.956961,255,14.271352,False
-1333.057745,254,14.41285,False
-1143.424172,233,14.564232,False
-1308.296309,252,14.734676,False
-1175.938389,234,14.873612,False
-1156.435482,231,17.090238,False
-1449.824141,266,17.235234,False
-1765.458928,298,17.395145,False
-2392.328286,348,17.596045,False
-1249.098572,243,17.735752,False
-1282.835297,247,17.882281,False
-1940.918236,310,18.110236,False
-1528.765368,274,20.346415,False
-1278.822227,252,20.543498,False
-1236.211882,240,20.676695,False
-1176.888932,233,20.801193,False
-1807.96432,299,20.979642,False
-1095.665517,226,21.111514,False
-2406.086291,349,21.317094,False
-1357.887725,257,21.504296,False
-1351.666854,254,23.748649,False
-1525.440293,274,24.015301,False
-1209.771231,236,24.154496,False
-2828.397737,369,24.350205,False
-1129.662669,227,24.48132,False
-1457.55289,266,24.6487,False
-1284.714223,249,24.780478,False
-1404.342376,262,24.914051,False
-1186.699931,233,27.029558,False
-1189.617647,236,27.154784,False
-3407.761266,413,27.378472,False
-1337.49346,260,27.567188,False
-1953.174387,318,27.776318,False
-1187.126206,237,27.901019,False
-1361.869295,260,28.090699,False
-1911.584417,306,30.295825,False
-1826.841241,303,30.512475,False
-1810.10295,302,30.671769,False
-1395.425593,260,30.800646,False
-1156.861253,230,30.941778,False
-1242.833032,245,31.068438,False
-1340.473317,255,31.203746,False
-2349.425493,340,33.444064,False
-1129.113977,226,33.577865,False
-1527.673211,279,33.75708,False
-1321.803193,251,33.920752,False
-1254.902667,243,34.083857,False
-1144.616433,231,34.210045,False
-2404.303846,347,34.436448,False
-2146.357527,325,34.595183,False
-1106.162527,224,36.677329,False
-1337.425516,255,36.832301,False
-1632.700518,288,37.038984,False
-1515.982055,274,37.199486,False
-1474.039929,273,37.358895,False
-1091.678086,221,37.473297,False
-1220.614824,239,37.593964,False
-1632.519682,288,37.746471,False
-1310.811274,254,39.964818,False
-1508.179115,279,40.125716,False
-1870.481484,316,40.28802,False
-1629.937751,283,40.458894,False
-1908.404931,322,40.641,False
-1481.369078,277,40.788484,False
-1088.787607,221,40.912529,False
-1387.448867,261,43.087617,False
-2491.840998,352,43.291337,False
-1281.273108,250,43.427462,False
-1105.207972,225,43.553807,False
-1985.630862,327,43.792774,False
-1537.605541,282,43.987198,False
-1285.986469,251,44.13742,False
-1790.877831,309,46.335919,False
-1743.128151,301,46.487914,False
-1831.657949,312,46.647274,False
-1584.558751,299,46.797755,False
-1968.340382,326,46.962683,False
-1722.21591,294,47.117848,False
-1444.655364,264,47.257028,False
-1119.596293,228,49.351761,False
-1720.251536,311,49.528568,False
-1231.919861,244,49.667665,False
-1171.376497,236,49.790924,False
-1311.760921,252,49.940287,False
-1266.401905,256,50.114452,False
-1729.742323,303,50.321927,False
-1138.869677,233,50.450231,False
-1107.177475,227,52.586465,False
-1595.524776,297,52.734697,False
-1850.889594,312,52.892084,False
-1337.501811,262,53.032503,False
-1230.101604,248,53.15917,False
-1778.892528,317,53.315478,False
-1080.814619,219,53.43059,False
-1634.549423,310,53.584006,False
-1380.030569,257,55.630225,False
-1441.893303,283,55.768998,False
-1770.475123,307,55.939063,False
-1099.600848,223,56.062051,False
-1556.324085,281,56.209488,False
-1532.750323,281,56.344275,False
-1361.710996,259,56.472361,False
-1147.367249,231,58.68106,False
-1766.972613,306,58.944386,False
-1305.849019,256,59.160763,False
-1445.093835,272,59.327288,False
-1225.504581,239,59.463213,False
-1464.025104,274,59.63491,False
-1081.1274,219,59.753657,False
-1126.776555,230,59.869121,False
-1107.181112,225,62.320492,False
-1108.037221,227,62.474924,False
-1140.517206,232,62.606704,False
-1082.140439,222,62.754955,False
-1545.073679,288,62.921224,False
-1564.803606,295,63.101699,False
-1250.114611,253,63.291025,False
-1093.661092,222,63.425584,False
-1113.677205,228,63.555644,False
-1165.580505,236,65.912023,False
-1132.580782,230,66.050448,False
-1110.380734,228,66.17653,False
-1294.923792,262,66.326207,False
-1449.714454,270,66.489357,False
-1419.42706,275,66.682537,False
-1455.200286,276,66.887506,False
-1233.284305,251,67.048098,False
-1697.077197,304,69.520216,False
-1461.767733,298,69.702812,False
-1335.738163,261,69.862244,False
-1189.738141,244,70.000066,False
-1150.313278,235,70.143144,False
-1287.568559,255,70.29624,False
-1124.735341,230,70.44247,False
-1327.033044,262,70.601896,False
-1198.848317,239,72.904375,False
-1328.832924,261,73.037198,False
-1085.520371,221,73.18258,False
-1319.953774,273,73.384964,False
-1190.895979,244,73.537911,False
-1340.602846,265,73.707271,False
-1102.017969,224,73.877704,False
-1113.614625,227,74.050474,False
-1221.584151,244,76.336361,False
-1066.199887,218,76.447289,False
-1295.749333,261,76.589013,False
-1103.002567,226,76.706415,False
-1126.311969,228,76.828825,False
-1324.423295,285,76.977609,False
-1134.420002,231,77.097105,False
-1668.660401,304,77.297911,False
-1160.292141,240,79.544551,False
-1125.861271,232,79.689017,False
-1049.057468,213,79.829665,False
-1396.408748,269,80.107131,False
-1171.076107,242,80.263891,False
-1103.379183,224,80.384882,False
-1089.382146,222,80.497619,False
-1085.819537,221,80.613294,False
-1107.552607,226,80.747883,False
-1239.249963,243,82.982687,False
-1065.430188,213,83.135275,False
-1132.15238,224,83.301939,False
-1329.14551,271,83.493522,False
-1131.520054,226,83.630868,False
-1077.720748,218,83.74907,False
-1420.587129,277,83.919858,False
-1108.440083,222,84.072922,False
-1576.731085,303,86.447432,False
-1121.542669,230,86.590157,False
-1095.287228,221,86.725734,False
-1105.537382,224,86.868259,False
-1061.36989,212,86.993152,False
-1385.12668,275,87.165767,False
-1081.795305,219,87.296793,False
-1355.410651,288,87.464854,False
-1100.764838,219,87.591022,False
-1209.172833,242,89.883272,False
-1095.315078,225,90.0057,False
-1053.365853,212,90.124637,False
-1106.853284,219,90.241543,False
-1468.856068,285,90.392091,False
-1281.362634,272,90.529407,False
-1062.595366,212,90.665673,False
-1265.814599,264,90.823095,False
-1057.97343,211,90.951509,False
-1098.716212,217,93.239455,False
-1073.374993,215,93.366771,False
-1110.481793,226,93.496538,False
-1054.962737,212,93.643938,False
-1226.589213,257,93.825227,False
-1060.985296,214,93.949627,False
-1218.536998,250,94.110606,False
-1483.116285,300,94.374973,False
-1241.075457,264,96.653221,False
-1057.275756,213,96.769653,False
-1044.232352,207,96.884398,False
-1097.523111,217,96.997019,False
-1090.582586,216,97.115066,False
-1047.4956,207,97.239826,False
-1277.656705,266,97.382433,False
-1118.814555,220,97.491685,False
-1100.09688,216,97.599971,False
-1216.221574,256,99.857216,False
-1058.181524,208,99.979944,False
-1187.136417,237,100.098533,False
-1364.701439,275,100.234877,False
-1251.785737,284,100.369108,False
-1058.455768,208,100.481658,False
-1249.49211,244,100.614481,False
-1067.601293,210,100.726718,False
-1043.968554,208,100.832686,False
-1270.70041,283,103.107701,False
-1149.992943,234,103.245445,False
-1036.168185,205,103.350025,False
-1194.784755,238,103.494058,False
-1230.204074,259,103.636867,False
-1131.439848,227,103.760573,False
-1058.103499,210,103.866489,False
-1055.148757,206,103.971164,False
-1277.914991,261,104.13314,False
-1150.527646,220,106.29597,False
-1054.796077,210,106.41458,False
-1037.80556,207,106.533967,False
-1078.911641,210,106.682455,False
-1068.706837,209,106.803031,False
-1060.877118,208,106.904144,False
-1211.011981,259,107.029521,False
-1175.594355,242,107.147563,False
-1170.89686,237,107.26374,False
-1177.584234,232,109.469096,False
-1251.278471,284,109.653304,False
-1076.690221,212,109.790072,False
-1050.663815,209,109.936561,False
-1015.868887,200,110.109563,False
-1037.934956,206,110.220459,False
-1180.177752,239,110.339092,False
-1037.648849,206,110.436166,False
-1134.67419,233,110.551581,False
-1050.613971,206,112.74403,False
-1026.339923,205,112.849077,False
-1022.641977,202,112.965408,False
-1341.211331,268,113.103318,False
-1111.342703,220,113.225253,False
-1089.253851,214,113.340608,False
-1264.164939,289,113.525627,False
-1170.670865,242,113.656717,False
