#{"t_start": 1764741947.369764, "env_id": "None"}
r,l,t,success
22.894365,332,118.19956,False
22.89318,332,118.36724,False
22.903627,332,120.660237,False
22.896303,332,120.874677,False
22.924446,332,121.121442,False
22.886117,332,121.307749,False
22.892928,332,121.482997,False
22.943297,332,121.65958,False
22.986717,332,123.959551,False
22.953968,332,124.147808,False
22.923014,332,124.321434,False
22.891473,332,124.481807,False
22.910615,332,124.645047,False
22.946455,332,124.805943,False
22.88714,332,127.091386,False
22.969414,332,127.306942,False
22.896157,332,127.504879,False
22.899893,332,127.741668,False
22.961445,332,128.00274,False
22.996529,332,128.180418,False
22.900281,332,130.498052,False
22.923734,332,130.663652,False
23.047673,332,130.840981,False
22.923768,332,131.022456,False
22.9603,332,131.221112,False
22.895188,332,131.398553,False
23.029052,332,133.738009,False
22.892944,332,133.942805,False
23.012112,332,134.127412,False
22.902015,332,134.290608,False
22.893946,332,134.454313,False
22.91294,332,134.647788,False
22.890636,332,137.036175,False
22.911316,332,137.209627,False
22.893721,332,137.39594,False
22.891855,332,137.57369,False
22.879292,332,137.745956,False
22.89373,332,137.931892,False
23.035635,332,138.114129,False
22.892981,332,140.435272,False
22.921464,332,140.690153,False
22.895026,332,140.908539,False
22.997171,332,141.096586,False
22.91631,332,141.293818,False
22.934132,332,141.492374,False
22.910576,332,143.780339,False
22.918768,332,144.019025,False
22.917384,332,144.229781,False
22.919167,332,144.403956,False
22.891382,332,144.576026,False
22.988787,332,144.747845,False
22.897285,332,147.057845,False
22.894788,332,147.234774,False
23.040955,332,147.405883,False
22.9157,332,147.565485,False
22.912797,332,147.730126,False
22.893095,332,147.889334,False
22.996609,332,150.19894,False
22.903279,332,150.500868,False
22.893732,332,150.728764,False
23.058328,332,150.914644,False
22.902064,332,151.089612,False
22.896332,332,151.258847,False
22.89779,332,153.565864,False
22.913791,332,153.799035,False
23.032133,332,153.983376,False
22.932433,332,154.158568,False
22.900428,332,154.3292,False
22.898711,332,154.497496,False
22.892948,332,156.797596,False
22.972324,332,156.978845,False
22.928288,332,157.15545,False
22.948722,332,157.357694,False
22.895224,332,157.56579,False
22.893301,332,157.759959,False
22.890233,332,157.990179,False
22.904586,332,160.272906,False
23.052942,332,160.44358,False
22.963559,332,160.613144,False
22.892941,332,160.811095,False
22.919124,332,161.079177,False
22.945306,332,161.30843,False
22.892455,332,163.556493,False
22.920346,332,163.73127,False
22.89395,332,163.917098,False
22.893497,332,164.082271,False
22.918512,332,164.304743,False
22.891471,332,164.545025,False
22.9078,332,166.788227,False
22.892949,332,166.986062,False
22.975367,332,167.160474,False
22.892859,332,167.325976,False
22.999346,332,167.505608,False
22.892952,332,167.731473,False
22.963817,332,170.007246,False
22.922115,332,170.188128,False
22.908303,332,170.409716,False
22.913655,332,170.610503,False
22.896022,332,170.838339,False
22.916788,332,171.090166,False
22.891759,332,173.409525,False
22.916245,332,173.583669,False
22.893293,332,173.759328,False
22.951168,332,173.961865,False
22.893037,332,174.195984,False
22.895327,332,174.371621,False
22.905437,332,176.671202,False
22.915326,332,176.918297,False
22.92379,332,177.119641,False
22.893463,332,177.330805,False
23.000758,332,177.500516,False
22.942612,332,177.703306,False
22.899834,332,177.886894,False
22.894373,332,180.300209,False
22.892927,332,180.513698,False
22.89294,332,180.69778,False
22.892953,332,180.865672,False
22.957058,332,181.053918,False
22.898615,332,181.272586,False
22.935879,332,183.719854,False
22.894391,332,183.909397,False
22.90046,332,184.086889,False
22.968018,332,184.247873,False
22.898865,332,184.419446,False
22.964978,332,184.628049,False
22.893067,332,186.862229,False
22.899726,332,187.025763,False
22.933995,332,187.255281,False
22.948781,332,187.437882,False
22.899212,332,187.606422,False
23.016335,332,187.803397,False
22.883968,332,190.089027,False
22.996292,332,190.314259,False
22.9058,332,190.554589,False
22.895213,332,190.739969,False
22.898543,332,190.916236,False
22.893954,332,191.0853,False
22.910352,332,193.382194,False
22.893564,332,193.58989,False
22.911047,332,193.821159,False
22.893881,332,194.094819,False
22.893312,332,194.281022,False
22.99587,332,194.448375,False
22.910459,332,196.693541,False
22.904463,332,196.903998,False
22.895719,332,197.127965,False
22.947983,332,197.331397,False
22.892931,332,197.576384,False
22.893516,332,197.792658,False
22.995001,332,197.987347,False
22.924813,332,200.241234,False
22.892931,332,200.463903,False
22.892961,332,200.692794,False
22.900975,332,200.928761,False
23.044024,332,201.167724,False
22.893026,332,201.34848,False
22.893012,332,203.670695,False
22.994138,332,203.863628,False
23.006561,332,204.03858,False
22.893766,332,204.232021,False
22.930168,332,204.43148,False
22.893431,332,204.639457,False
23.059553,332,206.921401,False
22.894935,332,207.099468,False
22.999061,332,207.316922,False
22.893965,332,207.56518,False
23.04392,332,207.765427,False
22.900733,332,207.934271,False
22.90252,332,210.215723,False
22.892937,332,210.3937,False
22.924767,332,210.575134,False
22.893018,332,210.801393,False
23.000348,332,211.000603,False
22.908535,332,211.230817,False
22.897913,332,213.436871,False
23.004347,332,213.65259,False
23.001603,332,213.869648,False
22.965223,332,214.10641,False
23.006438,332,214.352373,False
22.946316,332,214.543579,False
22.894028,332,216.81025,False
23.002885,332,216.99209,False
22.898328,332,217.200482,False
22.894148,332,217.398716,False
22.894167,332,217.60198,False
23.10782,332,217.860354,False
22.894918,332,218.079259,False
22.9857,332,220.326799,False
22.927186,332,220.508636,False
23.000006,332,220.680975,False
22.90153,332,220.880578,False
22.892935,332,221.095508,False
23.006219,332,221.299825,False
22.893223,332,223.617501,False
22.893269,332,223.804083,False
22.907328,332,223.973315,False
23.000626,332,224.147632,False
22.906311,332,224.329876,False
22.942022,332,224.540204,False
22.895425,332,226.803025,False
22.900986,332,226.975666,False
23.002368,332,227.150994,False
22.953614,332,227.309507,False
22.896532,332,227.476562,False
22.89317,332,227.636484,False
22.892959,332,229.836673,False
22.897347,332,230.016301,False
23.062828,332,230.252501,False
23.005606,332,230.445008,False
22.989848,332,230.651818,False
22.905594,332,230.923705,False
22.896422,332,233.266379,False
22.913784,332,233.447394,False
22.900326,332,233.621134,False
22.93071,332,233.811808,False
22.893156,332,234.012448,False
22.893554,332,234.193542,False
22.960024,332,234.443776,False
22.969913,332,236.810319,False
22.896793,332,236.994521,False
22.91082,332,237.158681,False
22.900493,332,237.333392,False
22.893424,332,237.503135,False
22.899602,332,237.694915,False
23.063467,332,240.030547,False
22.899231,332,240.221212,False
23.063482,332,240.453146,False
23.006154,332,240.730001,False
23.061526,332,240.941782,False
22.895055,332,241.135861,False
23.007054,332,243.402873,False
23.005115,332,243.584532,False
23.027171,332,243.756897,False
22.893367,332,243.960661,False
22.942034,332,244.133224,False
22.89423,332,244.304276,False
23.00615,332,246.646989,False
22.900938,332,246.883495,False
23.063992,332,247.066471,False
22.962745,332,247.245898,False
23.006471,332,247.417072,False
22.905291,332,247.589236,False
22.931326,332,249.829084,False
22.91032,332,250.006499,False
22.927234,332,250.201852,False
22.908511,332,250.420511,False
22.956964,332,250.627954,False
22.897888,332,250.825876,False
22.892963,332,253.216719,False
22.893142,332,253.389527,False
22.974404,332,253.562021,False
22.893139,332,253.738405,False
23.061134,332,253.943561,False
22.898614,332,254.121504,False
22.893289,332,254.330921,False
22.903686,332,256.581208,False
22.901509,332,256.743944,False
22.895895,332,256.96867,False
22.969867,332,257.145531,False
23.006151,332,257.318441,False
22.894602,332,257.488969,False
22.893009,332,259.794809,False
22.909053,332,260.000188,False
23.019359,332,260.198393,False
22.907372,332,260.419709,False
22.892929,332,260.631627,False
23.063499,332,260.819052,False
22.893229,332,263.118193,False
22.893217,332,263.292562,False
22.895622,332,263.494867,False
22.922399,332,263.679245,False
23.001247,332,263.862234,False
22.936583,332,264.08301,False
22.89656,332,266.489923,False
22.911893,332,266.664205,False
22.89733,332,266.867512,False
22.991164,332,267.068561,False
22.908839,332,267.281844,False
22.93164,332,267.516798,False
22.894744,332,269.77954,False
22.897912,332,270.036175,False
22.892991,332,270.259253,False
22.892948,332,270.467149,False
22.907067,332,270.636162,False
22.896719,332,270.806865,False
23.063716,332,273.0545,False
22.928388,332,273.24406,False
22.893788,332,273.456925,False
22.892931,332,273.631191,False
22.896692,332,273.892243,False
22.893222,332,274.131306,False
22.946111,332,274.312488,False
22.897017,332,276.493767,False
23.005665,332,276.727732,False
22.965084,332,276.927462,False
22.893162,332,277.117467,False
22.932132,332,277.283227,False
23.024303,332,277.449035,False
22.893035,332,279.75737,False
22.923,332,279.989056,False
23.063451,332,280.232594,False
22.89487,332,280.426414,False
23.061512,332,280.600182,False
22.895916,332,280.768709,False
22.892975,332,283.051385,False
22.910173,332,283.224096,False
22.934115,332,283.400791,False
22.893048,332,283.59093,False
22.912924,332,283.779512,False
23.007204,332,283.954275,False
22.917871,332,286.203512,False
22.982345,332,286.440761,False
22.921903,332,286.625463,False
22.895228,332,286.893693,False
22.894061,332,287.161814,False
22.902472,332,287.36265,False
22.916093,332,289.599481,False
22.898549,332,289.768358,False
23.001982,332,289.956774,False
22.894567,332,290.160792,False
22.897542,332,290.334759,False
22.941542,332,290.53236,False
22.911168,332,292.763344,False
22.977847,332,292.980722,False
22.905665,332,293.151096,False
22.896304,332,293.326032,False
22.897872,332,293.520398,False
22.894619,332,293.715473,False
22.893616,332,293.894088,False
23.063224,332,296.061168,False
22.895169,332,296.271154,False
22.903593,332,296.450516,False
22.922108,332,296.636419,False
22.900971,332,296.848039,False
22.959504,332,297.050812,False
22.998533,332,299.330368,False
23.06245,332,299.505853,False
23.014595,332,299.676048,False
23.038852,332,299.841753,False
22.934432,332,300.00841,False
22.893118,332,300.176859,False
22.96072,332,302.327478,False
22.905297,332,302.541562,False
22.892937,332,302.783627,False
22.985354,332,303.044472,False
22.944627,332,303.264858,False
22.916902,332,303.448084,False
22.974302,332,305.728425,False
22.892927,332,305.92309,False
23.055903,332,306.153146,False
23.000547,332,306.383399,False
22.923567,332,306.566746,False
23.063934,332,306.731564,False
22.892994,332,309.042726,False
23.005841,332,309.240779,False
23.008402,332,309.440371,False
22.919375,332,309.657535,False
23.007535,332,309.832979,False
23.007306,332,310.00499,False
22.910599,332,312.268308,False
22.894709,332,312.465917,False
22.903052,332,312.690286,False
22.894863,332,312.928386,False
22.893433,332,313.119134,False
22.900517,332,313.312116,False
22.950047,332,313.478317,False
22.973325,332,315.881057,False
22.892927,332,316.110818,False
22.940246,332,316.602711,False
22.917056,332,316.844098,False
22.953457,332,317.052406,False
22.893011,332,317.256018,False
22.901388,332,320.081895,False
23.008297,332,320.626201,False
22.893167,332,320.944398,False
22.894216,332,321.225908,False
23.061652,332,321.509191,False
22.921333,332,321.780208,False
22.915345,332,323.932109,False
23.005988,332,324.11747,False
22.905038,332,324.286303,False
22.893984,332,324.481719,False
22.89316,332,324.66234,False
22.945447,332,324.832743,False
22.895483,332,326.792404,False
23.062278,332,326.965774,False
22.902418,332,327.13562,False
23.019881,332,327.311884,False
22.922485,332,327.634012,False
22.894382,332,327.801046,False
23.06434,332,329.772951,False
22.942819,332,329.94645,False
22.892928,332,330.147212,False
22.895224,332,330.377927,False
23.000445,332,330.546147,False
22.902722,332,330.716122,False
22.897963,332,332.80032,False
22.973774,332,332.995386,False
22.901441,332,333.211737,False
22.893011,332,333.418567,False
22.939939,332,333.622716,False
22.935688,332,333.862395,False
22.893151,332,334.123108,False
22.921181,332,336.362415,False
22.897819,332,336.605584,False
23.001473,332,336.862814,False
22.892931,332,337.095079,False
22.940919,332,337.27815,False
22.992223,332,337.452578,False
22.900387,332,339.608727,False
22.909114,332,339.788612,False
23.007604,332,339.964804,False
22.899413,332,340.141462,False
22.897593,332,340.319767,False
22.895938,332,340.500489,False
22.911156,332,343.256626,False
22.894948,332,343.456237,False
23.063136,332,343.649611,False
23.016399,332,343.828123,False
22.924561,332,344.011857,False
23.006006,332,344.22049,False
22.89625,332,346.606777,False
22.921261,332,346.839772,False
23.006118,332,347.053876,False
22.964105,332,347.277141,False
22.894216,332,347.542991,False
23.006456,332,347.944718,False
22.905108,332,350.634313,False
22.894624,332,350.829791,False
22.94517,332,351.010655,False
22.938655,332,351.188937,False
23.064395,332,351.377342,False
22.894387,332,351.563672,False
22.928784,332,353.585352,False
22.892959,332,353.769606,False
22.899681,332,353.94184,False
22.89395,332,354.113262,False
22.89523,332,354.283725,False
23.026904,332,354.452466,False
22.893246,332,354.637572,False
23.005904,332,356.561082,False
22.895153,332,356.744081,False
22.926866,332,356.942025,False
22.917872,332,357.146281,False
22.913099,332,357.32922,False
22.985096,332,357.505729,False
23.063134,332,359.421851,False
