Step,Time,X,Y,Z,Vx,Vy,Vz,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
48,0.49,498.53000000000134,1.8002307947466082e-16,499.80551899999995,-3.0,3.6739403974420594e-16,-0.7937999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07179670072775246
49,0.5,498.50000000000136,1.8369701987210287e-16,499.79749999999996,-3.0,3.6739403974420594e-16,-0.8099999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07175497449048471
50,0.51,498.4700000000014,1.8737096026954492e-16,499.789319,-3.0,3.6739403974420594e-16,-0.8261999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07171246155016608
51,0.52,498.4400000000014,1.9104490066698697e-16,499.78097599999995,-3.0,3.6739403974420594e-16,-0.8423999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07166916513699145
52,0.53,498.41000000000145,1.9471884106442902e-16,499.77247099999994,-3.0,3.6739403974420594e-16,-0.8585999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07162508852243055
53,0.54,498.3800000000015,1.9839278146187108e-16,499.76380399999994,-3.0,3.6739403974420594e-16,-0.8747999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07158023501812247
54,0.55,498.3500000000015,2.0206672185931313e-16,499.75497499999994,-3.0,3.6739403974420594e-16,-0.8909999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07153460797476777
55,0.56,498.3200000000015,2.0574066225675518e-16,499.74598399999996,-3.0,3.6739403974420594e-16,-0.9071999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07148821078101915
56,0.5700000000000001,498.29000000000156,2.0941460265419723e-16,499.73683099999994,-3.0,3.6739403974420594e-16,-0.9233999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0714410468623711
57,0.58,498.2600000000016,2.1308854305163928e-16,499.7275159999999,-3.0,3.6739403974420594e-16,-0.9395999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07139311968004976
58,0.59,498.2300000000016,2.1676248344908133e-16,499.7180389999999,-3.0,3.6739403974420594e-16,-0.9557999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07134443272990315
59,0.6,498.20000000000164,2.2043642384652339e-16,499.7083999999999,-3.0,3.6739403974420594e-16,-0.9719999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07129498954129289
60,0.61,498.17000000000166,2.2411036424396546e-16,499.69859899999994,-3.0,3.6739403974420594e-16,-0.9881999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07124479367598785
61,0.62,498.1400000000017,2.2778430464140754e-16,499.6886359999999,-3.0,3.6739403974420594e-16,-1.0043999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07119384872706044
62,0.63,498.1100000000017,2.314582450388496e-16,499.6785109999999,-3.0,3.6739403974420594e-16,-1.0205999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07114215831778628
63,0.64,498.08000000000175,2.351321854362917e-16,499.6682239999999,-3.0,3.6739403974420594e-16,-1.0367999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07108972610054776
64,0.65,498.0500000000018,2.3880612583373377e-16,499.6577749999999,-3.0,3.6739403974420594e-16,-1.0529999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07103655575574216
65,0.66,498.0200000000018,2.4248006623117584e-16,499.6471639999999,-3.0,3.6739403974420594e-16,-1.0691999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.070982650990695
66,0.67,497.9900000000018,2.461540066286179e-16,499.63639099999995,-3.0,3.6739403974420594e-16,-1.0853999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07092801553857905
67,0.68,497.96000000000186,2.4982794702606e-16,499.62545599999993,-3.0,3.6739403974420594e-16,-1.1015999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07087265315733964
68,0.6900000000000001,497.9300000000019,2.5350188742350207e-16,499.6143589999999,-3.0,3.6739403974420594e-16,-1.1177999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07081656762862686
69,0.7000000000000001,497.9000000000019,2.5717582782094415e-16,499.6030999999999,-3.0,3.6739403974420594e-16,-1.1339999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07075976275673516
70,0.71,497.87000000000194,2.608497682183862e-16,499.59167899999994,-3.0,3.6739403974420594e-16,-1.1501999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07070224236755074
71,0.72,497.84000000000196,2.645237086158283e-16,499.58009599999997,-3.0,3.6739403974420594e-16,-1.1663999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07064401030750744
72,0.73,497.810000000002,2.6819764901327037e-16,499.56835099999995,-3.0,3.6739403974420594e-16,-1.1825999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07058507044255133
73,0.74,497.780000000002,2.7187158941071245e-16,499.55644399999994,-3.0,3.6739403974420594e-16,-1.1987999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07052542665711473
74,0.75,497.75000000000205,2.7554552980815453e-16,499.54437499999995,-3.0,3.6739403974420594e-16,-1.2149999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07046508285309992
75,0.76,497.7200000000021,2.792194702055966e-16,499.53214399999996,-3.0,3.6739403974420594e-16,-1.2311999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.070404042948873
76,0.77,497.6900000000021,2.828934106030387e-16,499.519751,-3.0,3.6739403974420594e-16,-1.2473999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07034231087826823
77,0.78,497.6600000000021,2.8656735100048076e-16,499.50719599999996,-3.0,3.6739403974420594e-16,-1.2635999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07027989058960349
78,0.79,497.63000000000216,2.9024129139792283e-16,499.49447899999996,-3.0,3.6739403974420594e-16,-1.2797999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0702167860447068
79,0.8,497.6000000000022,2.939152317953649e-16,499.48159999999996,-3.0,3.6739403974420594e-16,-1.2959999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07015300121795465
80,0.81,497.5700000000022,2.97589172192807e-16,499.46855899999997,-3.0,3.6739403974420594e-16,-1.3121999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07008854009532212
81,0.8200000000000001,497.54000000000224,3.0126311259024906e-16,499.455356,-3.0,3.6739403974420594e-16,-1.3283999999999994,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07002340667344545
82,0.8300000000000001,497.51000000000226,3.0493705298769114e-16,499.441991,-3.0,3.6739403974420594e-16,-1.3445999999999994,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06995760495869699
83,0.84,497.4800000000023,3.086109933851332e-16,499.42846399999996,-3.0,3.6739403974420594e-16,-1.3607999999999993,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.069891138966273
84,0.85,497.4500000000023,3.122849337825753e-16,499.41477499999996,-3.0,3.6739403974420594e-16,-1.3769999999999993,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06982401271929467
85,0.86,497.42000000000235,3.1595887418001736e-16,499.400924,-3.0,3.6739403974420594e-16,-1.3931999999999993,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06975623024792217
86,0.87,497.3900000000024,3.1963281457745944e-16,499.386911,-3.0,3.6739403974420594e-16,-1.4093999999999993,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06968779558848238
87,0.88,497.3600000000024,3.233067549749015e-16,499.372736,-3.0,3.6739403974420594e-16,-1.4255999999999993,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06961871278261042
88,0.89,497.3300000000024,3.269806953723436e-16,499.35839899999996,-3.0,3.6739403974420594e-16,-1.4417999999999993,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06954898587640487
89,0.9,497.30000000000246,3.3065463576978567e-16,499.34389999999996,-3.0,3.6739403974420594e-16,-1.4579999999999993,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06947861891959715
90,0.91,497.2700000000025,3.3432857616722775e-16,499.329239,-3.0,3.6739403974420594e-16,-1.4741999999999993,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06940761596473526
91,0.92,497.2400000000025,3.380025165646698e-16,499.314416,-3.0,3.6739403974420594e-16,-1.4903999999999993,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06933598106638154
92,0.93,497.21000000000254,3.416764569621119e-16,499.29943099999997,-3.0,3.6739403974420594e-16,-1.5065999999999993,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06926371828032529
93,0.9400000000000001,497.18000000000256,3.4535039735955397e-16,499.28428399999996,-3.0,3.6739403974420594e-16,-1.5227999999999993,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06919083166280962
94,0.9500000000000001,497.1500000000026,3.4902433775699605e-16,499.26897499999995,-3.0,3.6739403974420594e-16,-1.5389999999999993,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06911732526977327
95,0.96,497.1200000000026,3.5269827815443813e-16,499.25350399999996,-3.0,3.6739403974420594e-16,-1.5551999999999992,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06904320315610682
96,0.97,497.09000000000265,3.563722185518802e-16,499.237871,-3.0,3.6739403974420594e-16,-1.5713999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06896846937492414
97,0.98,497.0600000000027,3.600461589493223e-16,499.22207599999996,-3.0,3.6739403974420594e-16,-1.5875999999999992,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06889312797684831
98,0.99,497.0300000000027,3.6372009934676435e-16,499.20611899999994,-3.0,3.6739403974420594e-16,-1.6037999999999992,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06881718300931255
99,1.0,497.00000000000273,3.6739403974420643e-16,499.18999999999994,-3.0,3.6739403974420594e-16,-1.6199999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06874063851587621
100,1.01,496.97000000000276,3.710679801416485e-16,499.17371899999995,-3.0,3.6739403974420594e-16,-1.6361999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06866349853555541
101,1.02,496.9400000000028,3.747419205390906e-16,499.15727599999997,-3.0,3.6739403974420594e-16,-1.6523999999999992,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06858576710216882
102,1.03,496.9100000000028,3.7841586093653266e-16,499.14067099999994,-3.0,3.6739403974420594e-16,-1.6685999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06850744824369824
103,1.04,496.88000000000284,3.8208980133397474e-16,499.1239039999999,-3.0,3.6739403974420594e-16,-1.6847999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06842854598166404
104,1.05,496.85000000000286,3.857637417314168e-16,499.1069749999999,-3.0,3.6739403974420594e-16,-1.7009999999999992,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06834906433051548
105,1.06,496.8200000000029,3.894376821288589e-16,499.0898839999999,-3.0,3.6739403974420594e-16,-1.7171999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06826900729703586
106,1.07,496.7900000000029,3.9311162252630096e-16,499.07263099999994,-3.0,3.6739403974420594e-16,-1.7333999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06818837887976231
107,1.08,496.76000000000295,3.9678556292374304e-16,499.0552159999999,-3.0,3.6739403974420594e-16,-1.7495999999999992,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06810718306842031
108,1.09,496.730000000003,4.004595033211851e-16,499.0376389999999,-3.0,3.6739403974420594e-16,-1.7657999999999991,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06802542384337287
109,1.1,496.700000000003,4.041334437186272e-16,499.0198999999999,-3.0,3.6739403974420594e-16,-1.7819999999999991,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06794310517508409
110,1.11,496.67000000000303,4.0780738411606927e-16,499.0019989999999,-3.0,3.6739403974420594e-16,-1.7981999999999991,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06786023102359717
111,1.12,496.64000000000306,4.1148132451351134e-16,498.9839359999999,-3.0,3.6739403974420594e-16,-1.8143999999999991,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06777680533802691
112,1.1300000000000001,496.6100000000031,4.151552649109534e-16,498.96571099999994,-3.0,3.6739403974420594e-16,-1.8305999999999991,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06769283205606617
113,1.1400000000000001,496.5800000000031,4.188292053083955e-16,498.9473239999999,-3.0,3.6739403974420594e-16,-1.846799999999999,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06760831510350662
114,1.1500000000000001,496.55000000000314,4.2250314570583757e-16,498.9287749999999,-3.0,3.6739403974420594e-16,-1.862999999999999,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06752325839377331
115,1.16,496.52000000000317,4.2617708610327965e-16,498.9100639999999,-3.0,3.6739403974420594e-16,-1.879199999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06743766582747329
116,1.17,496.4900000000032,4.2985102650072172e-16,498.89119099999994,-3.0,3.6739403974420594e-16,-1.895399999999999,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0673515412919577
117,1.18,496.4600000000032,4.335249668981638e-16,498.87215599999996,-3.0,3.6739403974420594e-16,-1.911599999999999,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06726488866089761
118,1.19,496.43000000000325,4.371989072956059e-16,498.85295899999994,-3.0,3.6739403974420594e-16,-1.927799999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06717771179387325
119,1.2,496.4000000000033,4.4087284769304795e-16,498.83359999999993,-3.0,3.6739403974420594e-16,-1.943999999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06709001453597643
120,1.21,496.3700000000033,4.4454678809049e-16,498.81407899999994,-3.0,3.6739403974420594e-16,-1.960199999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06700180071742616
121,1.22,496.34000000000333,4.48220728487932e-16,498.79439599999995,-3.0,3.6739403974420594e-16,-1.976399999999999,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06691307415319718
122,1.23,496.31000000000336,4.51894668885374e-16,498.774551,-3.0,3.6739403974420594e-16,-1.992599999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06682383864266137
123,1.24,496.2800000000034,4.555686092828161e-16,498.75454399999995,-3.0,3.6739403974420594e-16,-2.008799999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06673409796924161
124,1.25,496.2500000000034,4.592425496802581e-16,498.73437499999994,-3.0,3.6739403974420594e-16,-2.024999999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06664385590007829
125,1.26,496.22000000000344,4.629164900777001e-16,498.71404399999994,-3.0,3.6739403974420594e-16,-2.041199999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06655311618570796
126,1.27,496.19000000000347,4.665904304751421e-16,498.69355099999996,-3.0,3.6739403974420594e-16,-2.057399999999999,3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06646188255975408
127,1.28,496.1600000000035,4.702643708725842e-16,498.672896,-3.0,3.6739403974420594e-16,-2.073599999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06637015873862978
128,1.29,496.1300000000035,4.739383112700262e-16,498.65207899999996,-3.0,3.6739403974420594e-16,-2.089799999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06627794842125229
129,1.3,496.10000000000355,4.776122516674682e-16,498.63109999999995,-3.0,3.6739403974420594e-16,-2.105999999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06618525528876887
130,1.31,496.0700000000036,4.812861920649102e-16,498.60995899999995,-3.0,3.6739403974420594e-16,-2.122199999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06609208300429416
131,1.32,496.0400000000036,4.849601324623523e-16,498.58865599999996,-3.0,3.6739403974420594e-16,-2.138399999999999,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.06599843521265875
132,1.33,496.01000000000363,4.886340728597943e-16,498.567191,-3.0,3.6739403974420594e-16,-2.154599999999999,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0659043155401686
