Step,Time,X,Y,Z,Vx,Vy,Vz,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0.01,499.97,3.673940397442059e-18,499.999919,-3.0,3.6739403974420594e-16,-0.01619999999999982,179.99999999999997,90.0,-3.935936418311102e-14,0.0,1.0395124886718333e-14,-3.0000000000000004,7500000.0,0.07282408021986433
1,0.02,499.94000000000005,7.332690195353582e-18,499.99967599999997,-3.0,3.6458756446928344e-16,-0.03239999999999982,175.58914439619517,90.0,-4.410855603804742,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07282285337032143
2,0.03,499.9100000000001,1.0971078525251635e-17,499.99927099999996,-3.0,3.6334729421906845e-16,-0.04859999999999982,163.69310621806406,90.0,-16.116085890045415,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07282075233987255
3,0.04,499.8800000000001,1.460465230551991e-17,499.998704,-3.0,3.635721518029612e-16,-0.06479999999999982,153.65729265530197,90.0,-26.34270734469753,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07281777731986253
4,0.05,499.85000000000014,1.8245889356721838e-17,499.997975,-3.0,3.6478597111294853e-16,-0.08099999999999982,150.9388731840058,90.0,-28.819701622122643,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07281392857800781
5,0.06,499.82000000000016,2.1901629366441264e-17,499.997084,-3.0,3.6637481183489806e-16,-0.09719999999999983,158.38621622315668,90.0,-21.4069537426207,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07280920645827968
6,0.07,499.7900000000002,2.5572783884660932e-17,499.99603099999996,-3.0,3.6779509704615903e-16,-0.11339999999999983,175.2393727752145,90.0,-4.760627224784501,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07280361138075414
7,0.08,499.7600000000002,2.925576149274357e-17,499.99481599999996,-3.0,3.687033255076007e-16,-0.12959999999999983,-166.53767945839274,90.0,13.289232173840897,0.0,3.0000000000000004,-3.0000000000000004,7500000.0,0.07279714384142878
8,0.09,499.73000000000025,3.2975111874106763e-17,499.99343899999997,-3.0,3.746072171561363e-16,-0.14579999999999982,-157.94775379481712,90.0,22.3406118358605,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.07278980441200682
9,0.1,499.7000000000003,3.673534264310654e-17,499.9919,-3.0,3.7685534768121104e-16,-0.1619999999999998,-157.68710829039438,90.0,22.603938874278672,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.07278159373964847
10,0.11,499.6700000000003,4.050113096126187e-17,499.99019899999996,-3.0,3.758621909883004e-16,-0.1781999999999998,-156.8040330030377,90.0,23.195966996961772,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.07277251254669001
11,0.12,499.6400000000003,4.424561037730013e-17,499.98833599999995,-3.0,3.7281766969966023e-16,-0.1943999999999998,-152.4406054569412,90.0,27.245154203757433,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.07276256163033067
12,0.13,499.61000000000035,4.795537870662883e-17,499.98631099999994,-3.0,3.691401982831837e-16,-0.2105999999999998,-148.98467496779077,90.0,31.015325032208228,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.0727517418622877
13,0.14,499.5800000000004,5.163038222775606e-17,499.98412399999995,-3.0,3.6602153157418224e-16,-0.22679999999999978,-147.04429956580444,90.0,32.95570043419459,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.07274005418842014
14,0.15,499.5500000000004,5.528015679655601e-17,499.98177499999997,-3.0,3.641625402805888e-16,-0.24299999999999977,-147.62502040500985,90.0,32.37497959498928,0.0,-3.0000000000000004,-3.0000000000000004,7500000.0,0.07272749962832148
