#{"t_start": 1764916191.7211552, "env_id": "None"}
r,l,t,success,semi_success
278.979304,302,0.850286,False,True
259.969943,278,0.994313,False,False
235.52901,252,1.128035,False,False
229.070414,245,1.266491,False,False
235.12445,253,1.422466,False,False
285.352533,308,1.576285,False,True
242.892023,260,1.704775,False,False
243.947207,263,1.834963,False,False
227.371537,242,1.951422,False,False
321.230164,348,2.13466,False,True
304.473817,330,2.299039,False,True
231.574149,249,2.421214,False,False
252.17242,271,2.567403,False,False
239.225575,257,2.694869,False,False
326.187174,353,6.822449,False,True
259.144043,279,7.009367,False,False
271.53192,295,7.160527,False,True
238.426382,256,7.288729,False,False
283.15514,304,7.455159,False,True
333.624858,362,7.64426,False,True
253.759187,273,7.819746,False,False
325.09107,354,8.016467,False,True
311.753889,338,8.209247,False,True
321.302901,347,8.390129,False,True
259.128195,278,8.530179,False,False
252.757055,273,8.664498,False,False
288.208705,311,8.817345,False,True
254.62357,275,8.951852,False,False
268.63968,287,13.185547,False,False
296.955857,320,13.389113,False,True
289.904316,313,13.564458,False,True
245.17099,264,13.748186,False,False
235.017739,252,13.907779,False,False
270.573593,292,14.051235,False,True
305.874695,329,14.211039,False,True
240.795506,259,14.345598,False,False
286.091514,311,14.503423,False,True
255.683169,275,14.639668,False,True
311.082865,338,14.803025,False,True
243.578752,262,14.930272,False,False
308.761545,333,15.091841,False,True
260.313981,277,15.225296,False,False
261.911616,281,19.269301,False,False
289.000005,306,19.435558,False,True
276.324209,298,19.590882,False,True
255.194807,275,19.730923,False,False
239.666241,256,19.878835,False,False
287.389347,309,20.055299,False,True
329.254313,357,20.270151,False,True
234.813541,252,20.434006,False,False
244.666533,262,20.600794,False,False
235.816258,253,20.729985,False,False
239.983798,258,20.860242,False,False
237.237907,255,20.989033,False,False
254.908396,273,21.127917,False,False
237.733923,254,21.253903,False,False
271.557314,289,25.249657,False,False
289.507705,311,25.417002,False,True
255.908015,272,25.551018,False,False
241.050683,258,25.70629,False,False
318.823991,343,25.911888,False,True
249.912949,266,26.05644,False,False
246.770073,263,26.190381,False,False
311.918928,337,26.35668,False,True
298.384393,322,26.527174,False,True
252.691445,272,26.697922,False,False
297.997392,322,26.871484,False,True
242.877798,260,27.001892,False,False
323.424713,349,27.177958,False,True
251.927339,270,27.361594,False,False
375.339836,402,31.458892,False,False
243.957112,261,31.601868,False,False
265.801506,285,31.749491,False,False
240.835355,258,31.882546,False,False
263.762706,282,32.024901,False,False
238.331173,254,32.167221,False,False
230.021374,246,32.313113,False,False
322.435329,346,32.506502,False,True
262.079088,280,32.680525,False,False
236.380182,254,32.83211,False,False
250.13254,268,32.983132,False,False
287.987317,308,33.176959,False,False
276.108875,297,33.345101,False,True
320.07819,344,33.525827,False,True
273.258164,292,37.46878,False,False
299.336854,321,37.631045,False,True
264.84344,281,37.776835,False,False
238.236619,254,37.900704,False,False
235.738514,252,38.023977,False,False
278.490282,299,38.169897,False,False
277.330637,297,38.316516,False,True
242.110906,257,38.448847,False,False
263.113368,282,38.587978,False,False
288.896244,311,38.74278,False,True
235.987209,251,38.865349,False,False
243.945643,262,39.04328,False,False
292.403264,315,39.208158,False,True
239.221922,257,39.33433,False,False
240.23332,256,39.460077,False,False
253.580525,271,43.428447,False,False
246.692704,265,43.59164,False,False
244.520969,260,43.729938,False,False
245.925634,263,43.86855,False,False
233.988641,249,43.99401,False,False
247.398112,266,44.133475,False,False
243.630383,258,44.260569,False,False
282.651757,305,44.408116,False,True
266.22,285,44.573898,False,False
270.943888,290,44.748318,False,False
286.913817,309,44.910747,False,True
247.416521,265,45.070196,False,False
264.351419,283,45.358909,False,False
262.606641,280,45.654686,False,False
245.079385,262,45.840754,False,False
248.826263,265,49.843814,False,False
257.734693,277,50.03039,False,False
314.511251,340,50.218975,False,True
250.538424,268,50.371173,False,False
266.618685,284,50.517712,False,False
296.31994,321,50.720988,False,True
305.754803,329,50.885956,False,True
280.326771,302,51.036604,False,True
291.555049,314,51.236162,False,True
239.075252,255,51.378294,False,False
271.373904,288,51.520338,False,False
257.280555,274,51.660855,False,False
253.088404,271,51.794885,False,False
243.140923,260,51.922964,False,False
293.747483,316,55.905772,False,True
367.558406,394,56.123528,False,False
301.09224,324,56.288248,False,True
242.954562,258,56.419714,False,False
239.091974,255,56.550529,False,False
288.646519,310,56.704453,False,True
297.591691,321,56.860521,False,True
262.281871,280,57.003045,False,False
252.274304,271,57.178294,False,False
249.053997,267,57.314295,False,False
240.787007,256,57.45123,False,False
285.404089,307,57.604672,False,True
310.493361,334,57.7709,False,True
246.808647,264,57.900119,False,False
267.131394,284,61.881269,False,False
295.692816,312,62.034904,False,True
235.324607,252,62.1594,False,False
254.582536,274,62.310689,False,False
277.882678,300,62.485772,False,True
282.197369,304,62.645919,False,True
245.33474,262,62.774957,False,False
280.072332,299,62.918121,False,True
242.842706,259,63.045166,False,False
358.782938,389,63.235224,False,False
304.354533,329,63.398648,False,True
261.99268,281,63.535234,False,False
295.667173,318,63.702656,False,True
234.235618,249,63.824123,False,False
238.683383,253,67.781664,False,False
241.327342,257,67.954721,False,False
322.249439,346,68.146939,False,True
262.344985,282,68.292669,False,False
236.776931,253,68.427555,False,False
227.746735,242,68.549551,False,False
261.867921,279,68.69339,False,False
263.540394,281,68.839105,False,False
230.786192,246,68.960402,False,False
304.502477,328,69.124941,False,True
244.933989,262,69.257368,False,False
289.00972,311,69.413843,False,True
239.28254,256,69.538791,False,False
243.689821,259,69.670873,False,False
246.314217,263,69.814956,False,False
236.541271,251,73.786806,False,False
237.88162,251,73.921522,False,False
304.78746,327,74.081636,False,True
235.078979,251,74.215297,False,False
266.685046,285,74.361105,False,False
259.51869,278,74.501041,False,False
254.3714,273,74.635689,False,False
265.420607,284,74.776141,False,False
313.011096,336,74.93681,False,True
293.074676,314,75.092515,False,True
283.910348,305,75.245242,False,True
238.090686,255,75.371498,False,False
322.848301,346,75.539106,False,True
258.547175,276,75.683995,False,False
239.997007,255,79.704143,False,False
301.405359,324,79.881787,False,True
281.659362,302,80.093549,False,False
227.284578,242,80.234894,False,False
236.875693,253,80.370841,False,False
289.935323,314,80.528752,False,True
310.09745,334,80.708929,False,True
239.956765,256,80.841269,False,False
323.418619,348,81.023452,False,True
256.724381,275,81.161127,False,False
252.001592,270,81.298875,False,False
294.984332,317,81.471916,False,True
287.701558,310,81.630074,False,True
236.09507,253,81.75695,False,False
292.955627,314,85.688916,False,True
237.579559,251,85.838726,False,False
232.209872,247,85.964053,False,False
234.003136,250,86.092123,False,False
235.88452,252,86.227124,False,False
302.669613,325,86.392912,False,True
284.493313,305,86.588636,False,False
