#{"t_start": 1764741920.547387, "env_id": "None"}
r,l,t,success
6.933429,342,0.864347,False
1.413807,408,1.098772,False
5.192376,275,1.249622,False
3.880716,291,1.410422,False
5.501192,267,1.545112,False
3.216242,301,1.696473,False
4.238087,262,3.771387,False
8.895912,294,3.912165,False
12.317341,342,4.076841,False
5.879994,292,4.217376,False
4.759561,309,4.380536,False
4.444943,271,4.536443,False
11.921085,265,4.668238,False
8.371454,278,6.982193,False
5.356733,359,7.197505,False
9.208355,292,7.355211,False
5.570942,288,7.497673,False
14.452095,267,7.638416,False
11.533424,268,7.779525,False
28.977845,312,7.945045,False
13.943667,305,10.242493,False
7.328503,277,10.444511,False
7.561553,338,10.668376,False
8.3212,299,10.851632,False
8.869814,282,11.03445,False
8.877229,291,11.252322,False
10.091415,301,11.501651,False
8.421166,279,13.954034,False
10.932549,282,14.151534,False
10.887589,319,14.332671,False
15.858053,296,14.511298,False
10.771157,306,14.701404,False
9.093591,287,14.955755,False
12.266277,305,15.152012,False
10.875308,290,17.513788,False
10.219754,311,17.752683,False
14.141609,301,17.91674,False
13.124346,284,18.070588,False
9.91227,285,18.220281,False
11.948177,338,18.40647,False
15.429339,305,18.57822,False
15.392902,317,21.037221,False
12.747442,306,21.284066,False
13.262494,308,21.457969,False
13.17357,321,21.640032,False
