#{"t_start": 1764741920.547415, "env_id": "None"}
r,l,t,success
5.110723,260,0.822136,False
8.750665,315,1.009237,False
3.161657,315,1.182679,False
4.046418,280,1.327866,False
4.282502,251,1.463437,False
22.267611,276,1.602823,False
13.008002,316,1.761495,False
7.985095,358,3.878499,False
15.309908,318,4.032886,False
17.94787,277,4.167614,False
10.843592,305,4.313117,False
7.582662,340,4.515388,False
3.66,351,4.689783,False
21.045279,316,7.038731,False
4.584616,266,7.189412,False
6.09119,279,7.343318,False
9.71615,319,7.50074,False
5.033023,277,7.646971,False
7.539435,330,7.821239,False
6.720345,286,7.971703,False
10.912841,297,10.277757,False
15.953915,354,10.51591,False
10.541151,301,10.717337,False
8.463842,311,10.909187,False
7.829361,283,11.091841,False
10.612991,277,11.314933,False
7.996013,300,11.592176,False
9.391439,278,14.011828,False
17.034488,315,14.219622,False
10.020652,281,14.379268,False
16.114493,306,14.55837,False
12.840473,285,14.748077,False
16.018038,297,15.008428,False
11.616577,305,15.209242,False
15.711273,330,17.606244,False
11.962269,327,17.824971,False
11.458758,320,18.000703,False
12.436696,296,18.15486,False
11.306563,305,18.315866,False
12.889765,291,18.480464,False
19.591959,334,20.868298,False
12.486405,316,21.185862,False
12.174158,304,21.374926,False
12.99433,323,21.56347,False
12.410405,291,21.717918,False
