#{"t_start": 1764694571.929028, "env_id": "None"}
r,l,t
-223.432896,517,0.844957
-242.492041,501,1.014886
-307.633451,692,1.258449
-217.001755,515,2.413112
-233.127264,530,2.585573
-237.629208,595,2.777585
-203.134792,521,2.943912
-222.947216,467,4.020996
-210.082216,474,4.172582
-197.14704,487,4.330256
-301.362922,766,4.580675
-256.66406,669,5.731326
-211.749232,463,5.879937
-236.585043,473,6.035404
-220.941605,452,6.194966
-180.505667,561,7.305487
-186.019882,534,7.501638
-212.52959,477,7.673839
-221.417634,471,7.842144
-160.709236,570,8.89976
-214.295431,550,9.112771
-176.79776,523,9.304437
-234.675469,742,10.484009
-142.77439,656,10.737039
-158.616704,552,10.945406
-165.437747,717,12.144617
-180.337279,558,12.347749
-144.891345,567,12.562737
-176.132162,550,12.779815
-121.291521,608,13.87283
-180.957793,675,14.114172
-268.772676,468,14.283029
-251.995922,439,14.440828
-117.858851,907,15.716776
-143.873204,562,15.950127
-102.148684,654,16.204858
-215.17848,508,17.327144
-62.498596,811,17.630113
-51.333662,746,17.899231
-136.086901,749,19.098236
-26.975058,925,19.45088
-130.527093,613,20.623343
-204.708326,556,20.827209
-79.995454,648,21.065194
3.095485,786,22.27167
-252.194598,433,22.409998
-22.483927,764,22.670267
-185.76263,542,22.869063
28.520525,879,24.089555
129.159369,1091,24.453623
-28.043581,746,25.635677
145.148282,1236,26.122709
15.102667,792,27.400409
37.939022,852,27.69151
347.293821,1319,29.23719
132.189603,1339,29.687506
168.240492,1125,31.042769
-10.377597,791,31.306161
191.888672,763,32.542014
188.000845,585,32.772413
237.437297,668,33.011351
182.780985,596,34.185624
-222.696652,1634,34.765235
195.808433,574,36.137494
160.416875,475,36.315567
200.962343,637,36.542715
328.53494,488,37.818612
318.743215,461,37.98957
146.986053,434,38.149645
310.806682,429,38.30602
177.548206,491,38.478193
321.257998,491,39.677487
321.272964,484,39.856854
178.712422,473,40.030569
153.514254,470,40.190399
338.666715,567,41.492971
311.857546,426,41.671964
168.278894,450,42.734706
312.340313,431,42.88235
317.094732,509,44.086055
310.176006,430,44.241891
-56.387642,2000,45.971124
162.263807,428,46.129064
142.208366,489,46.298051
340.318474,505,46.471108
-344.947377,1641,48.284331
184.914318,504,48.457097
324.178265,479,49.714079
163.320227,484,49.901268
180.474149,531,50.095197
162.86763,434,50.248069
171.778827,471,51.451764
329.436995,478,51.635542
-173.725599,1604,53.343722
21.638801,1074,53.730874
170.016623,451,53.880178
214.326234,674,55.015806
155.808283,537,55.21662
170.578481,576,55.425058
-5.849392,766,56.579578
93.483654,1062,56.973861
183.626695,1051,58.283316
278.757397,917,58.649262
224.416345,640,58.888823
199.868721,1752,60.480356
76.156895,882,61.71042
158.365326,524,61.897332
309.353976,422,62.066023
161.766904,431,62.230851
101.92286,1248,63.594184
-37.13297,1085,64.99132
151.855227,473,65.14912
88.982587,1335,65.619543
133.723916,409,66.757788
161.599326,440,66.90416
144.077832,442,67.049337
168.763127,465,67.200666
313.575785,437,67.34909
315.67193,441,68.616547
166.568833,453,68.767795
313.319785,439,68.917117
312.480269,436,69.065457
195.425724,590,70.351691
-177.307276,749,70.600253
305.48947,420,70.739993
315.674957,443,70.886471
151.032944,494,72.041613
150.017564,416,72.181039
159.02211,442,72.33036
339.266187,515,72.540591
315.775672,449,73.83055
316.852373,472,73.998989
315.963515,456,74.152376
145.07114,468,74.318609
176.809369,545,74.51033
67.548927,849,75.845309
159.488679,447,75.995384
314.245526,439,76.148799
317.158133,450,77.401244
-64.323032,1807,78.023847
185.217697,544,79.2558
-234.769794,460,79.413648
201.722058,649,79.632873
198.949528,567,80.832352
168.229159,541,81.055966
193.953043,528,81.237209
165.771348,515,81.45927
211.776811,596,82.685437
184.356713,531,82.903248
348.164069,573,83.130385
161.351732,482,83.309396
-171.434354,872,84.652383
174.432971,523,84.868845
171.392127,483,85.048151
181.837864,484,90.047446
368.286137,1373,90.554681
444.2509,2000,92.497301
345.049317,539,92.713456
328.422586,488,93.936723
254.690675,1398,94.46475
469.192262,1658,96.138938
76.281309,861,97.464101
187.121131,594,97.732106
178.513108,525,97.924872
328.465558,477,98.102046
194.712692,554,99.301534
177.963438,541,99.499503
325.956355,486,99.687164
6.308719,924,101.029236
350.009691,537,101.216323
182.152873,509,101.390346
180.793952,529,101.566272
160.086817,447,102.738891
157.515522,583,102.946171
182.464982,492,103.1298
133.62372,442,103.302488
320.432426,455,104.551353
-94.418647,1401,105.247818
328.816546,485,105.479202
313.83364,451,106.772424
320.893599,482,106.93855
159.849875,465,107.099569
32.916413,1093,108.6775
136.947541,427,108.826239
311.663399,458,108.990426
-16.950351,949,110.535136
316.946974,451,110.691618
331.954356,490,110.859463
311.731731,464,111.01856
135.829633,486,111.182986
335.233644,520,112.426427
207.185827,557,112.616247
160.670046,546,112.801152
178.834121,593,114.030936
181.287516,567,114.227954
194.641473,649,114.446099
442.557543,1332,115.917088
244.600907,969,116.246161
609.899606,2000,117.935384
348.930171,1590,119.477006
272.058576,1464,121.021282
291.701977,923,121.366667
68.499656,847,122.607328
-96.552454,833,122.905857
344.212783,1149,124.240259
330.807311,511,124.420837
163.149505,443,124.580284
364.453564,584,124.797208
292.915908,1275,126.220231
148.828959,441,126.381317
153.811966,427,126.531267
320.656142,455,127.632796
180.198474,551,127.8262
186.431798,549,128.023065
193.359777,1350,129.592509
336.756362,529,129.780556
191.895371,538,129.980325
214.852738,582,131.206452
201.43367,679,131.435169
159.822896,450,131.598863
181.527416,523,131.789679
182.14848,513,133.016861
240.57226,676,134.143549
161.95302,471,134.374061
152.221434,457,134.549972
206.443487,591,135.818784
210.685332,606,136.047926
193.757968,1637,137.605909
185.024602,658,137.849657
72.695849,670,138.095059
329.431108,489,139.236481
169.065978,472,139.407396
-76.224761,838,139.710333
208.974676,606,141.074439
171.125024,455,141.235786
175.348922,472,141.414288
186.327568,516,141.603818
