#{"t_start": 1764628579.8160498, "env_id": "None"}
r,l,t
-11995.352442,252,17.228133
-149.840856,1,17.229183
-16040.314541,311,17.344572
-132.278586,1,17.345222
-6467.308027,125,17.38998
-7480.28055,205,18.485823
-6970.636495,297,18.589764
-148.599499,1,18.590201
-150.689066,1,18.590576
-143.104207,1,18.590951
-156.383057,1,18.591355
-163.853238,1,18.591802
-14216.400381,249,18.69109
-138.588252,1,18.691549
-10161.87962,279,18.786084
-153.896054,1,18.786527
-3324.410643,164,18.841817
-159.417346,1,18.842218
-642.877358,15,18.847072
-161.067686,1,18.847474
-1847.839286,52,18.864394
-3831.685771,214,18.938208
-159.004958,1,18.938717
-150.797726,1,18.93912
-345.427405,6,18.941751
-165.020429,1,18.94223
-9636.764507,188,19.015075
-144.526752,1,19.01554
-155.418638,1,19.015938
-9957.600295,288,19.120734
-7132.4786,170,20.198571
-6570.848499,223,20.26845
-3069.031309,142,20.312493
-4129.199085,120,20.350061
-149.788604,1,20.350498
-146.561078,1,20.350875
-5816.373005,239,20.4318
-140.180577,1,20.432288
-3232.448415,177,20.492664
-162.272509,1,20.493136
-11726.992283,244,20.575252
-140.576071,1,20.575777
-162.532184,1,20.576186
-2463.183157,67,20.601974
-7619.634763,234,20.68058
-137.268171,1,20.681147
-2589.693989,95,20.713136
-148.003815,1,20.713611
-161.22292,1,20.714099
-158.172848,1,20.714824
-158.852945,1,20.715241
-130.04905,1,20.715659
-140.478805,1,20.716032
-4192.269775,84,20.743411
-7782.640423,145,20.788606
-14842.449216,407,21.773142
-134.389881,1,21.773633
-148.569623,1,21.774033
-7957.953423,283,21.865694
-8763.483342,236,21.951291
-151.767581,1,21.951762
-7011.707586,155,22.010373
-127.036372,1,22.010971
-144.560148,1,22.011544
-164.391125,1,22.012093
-5026.183231,104,22.049874
-142.534884,1,22.050365
-10249.636345,211,22.125414
-153.800411,1,22.12588
-140.802819,1,22.126261
-165.508489,1,22.126639
-155.022817,1,22.127026
-4365.511636,104,22.160448
-7822.129587,224,22.234043
-148.92918,1,22.234553
-1575.542892,30,22.244039
-135.058012,1,22.244475
-11869.254981,268,22.332227
-7789.204937,177,22.390122
-4724.268372,114,23.317506
-4943.882678,107,23.365161
-1136.932517,30,23.374995
-140.713988,1,23.375451
