#{"t_start": 1764912182.8098502, "env_id": "None"}
r,l,t,success,semi_success
-8.612738,312,115.105735,False,False
-8.417458,312,115.367091,False,False
-8.724953,312,115.632081,False,False
-8.956358,311,115.994049,False,False
-8.688406,312,116.24793,False,False
-8.984818,312,116.504073,False,False
-8.487825,312,116.734589,False,False
-8.471895,312,122.060745,False,False
-8.557626,312,122.330181,False,False
-8.228668,313,122.592541,False,False
-8.591441,312,122.811492,False,False
-8.373462,313,123.048808,False,False
-8.399441,312,123.298482,False,False
-8.755142,312,123.519607,False,False
-8.326008,313,123.750434,False,False
-8.534141,312,123.978062,False,False
-8.284007,313,124.192345,False,False
-8.159453,313,124.440213,False,False
-8.571232,312,124.674222,False,False
-8.693144,312,124.997661,False,False
-8.688863,312,130.515322,False,False
-8.494002,312,130.819591,False,False
-8.484526,312,131.061918,False,False
-8.684934,311,131.314627,False,False
-7.908119,313,131.55451,False,False
-8.357335,313,131.821489,False,False
-7.877507,313,132.129658,False,False
-8.175066,313,132.404132,False,False
-8.118103,313,132.637445,False,False
-8.335693,313,132.870442,False,False
-8.188415,313,133.105854,False,False
-8.179867,313,133.339797,False,False
-8.42487,312,133.588252,False,False
-8.566836,312,139.067548,False,False
-7.938104,313,139.310537,False,False
-8.121797,313,139.611595,False,False
-7.933644,313,139.895861,False,False
-8.071649,313,140.188655,False,False
-7.891645,313,140.432998,False,False
-8.372438,312,140.660616,False,False
-7.869451,314,140.910447,False,False
-8.59737,312,141.145839,False,False
-8.183385,313,141.427512,False,False
-8.149519,312,141.762512,False,False
-8.163944,313,142.005454,False,False
-8.259145,313,142.240206,False,False
-8.039137,313,147.599486,False,False
-8.111778,313,147.848391,False,False
-7.907104,314,148.094199,False,False
-8.158919,313,148.441808,False,False
-8.21584,313,148.758559,False,False
-7.942079,313,148.99914,False,False
-7.931653,314,149.248428,False,False
-8.237853,313,149.476869,False,False
-7.951224,314,149.74594,False,False
-8.16939,312,150.005613,False,False
-7.814476,314,150.309247,False,False
-8.256209,313,150.60393,False,False
-8.142848,313,150.836431,False,False
-8.200466,313,156.365922,False,False
-7.821118,314,156.62688,False,False
-8.017756,313,156.846987,False,False
-8.036468,313,157.063922,False,False
-7.850252,314,157.320605,False,False
-7.875589,313,157.585428,False,False
-7.904004,313,157.85538,False,False
-7.958378,314,158.154699,False,False
-7.833318,314,158.409147,False,False
-8.246828,313,158.63905,False,False
-8.019542,313,158.88087,False,False
-8.376792,312,159.110608,False,False
-8.040373,313,159.346813,False,False
-7.887263,314,164.688802,False,False
-8.126056,313,164.93018,False,False
-8.030093,313,165.230252,False,False
-7.801132,314,165.537689,False,False
-8.154429,312,165.795391,False,False
-7.933078,314,166.043878,False,False
-7.907194,314,166.273189,False,False
-8.295539,312,166.492328,False,False
-8.05241,313,166.707224,False,False
-8.010289,313,166.926704,False,False
-7.870731,314,167.15449,False,False
-7.904939,314,167.439703,False,False
-7.973244,313,167.739617,False,False
-7.735388,314,173.190073,False,False
-7.715129,314,173.44244,False,False
-7.925601,313,173.754574,False,False
-7.877302,314,174.056831,False,False
-7.87111,314,174.378025,False,False
-7.817079,314,174.678537,False,False
-7.9647,314,174.915253,False,False
-7.912658,313,175.151495,False,False
-8.100252,313,175.386856,False,False
-7.798197,314,175.627708,False,False
-8.12849,313,175.917961,False,False
-7.989813,313,176.265893,False,False
-7.77195,314,176.603002,False,False
-7.8755,313,181.848567,False,False
-7.942409,314,182.088365,False,False
-7.948721,313,182.364076,False,False
-7.918147,313,182.648139,False,False
-7.824923,314,182.918975,False,False
-7.735282,314,183.190879,False,False
-7.870805,314,183.450249,False,False
-7.746952,314,183.695513,False,False
-8.021853,313,183.928506,False,False
-7.843225,314,184.170064,False,False
-7.991377,313,184.43796,False,False
-7.831496,314,184.677308,False,False
-7.814637,314,184.917972,False,False
-7.732952,314,185.154111,False,False
-7.756907,314,190.663289,False,False
-7.886847,313,190.94058,False,False
-7.73868,314,191.22346,False,False
-7.732112,314,191.511116,False,False
-7.972069,313,191.74829,False,False
-7.706854,314,192.005733,False,False
-7.738418,314,192.250547,False,False
-7.670763,314,192.542628,False,False
-7.803691,314,192.828144,False,False
-7.764238,314,193.085155,False,False
-7.82591,314,193.319599,False,False
-7.665474,314,193.558624,False,False
-7.613256,314,193.816414,False,False
-7.8322,314,199.412587,False,False
-7.843553,313,199.71249,False,False
-7.757793,314,200.071012,False,False
-7.887369,313,200.374803,False,False
-7.713475,314,200.633045,False,False
-8.112723,313,200.870835,False,False
-7.861519,314,201.122105,False,False
-7.698596,314,201.368597,False,False
-7.788204,314,201.616129,False,False
-7.774047,314,201.881557,False,False
-7.70547,314,202.175949,False,False
-7.893076,314,202.515374,False,False
-7.725137,314,202.802748,False,False
-7.820605,314,208.37115,False,False
-7.899479,314,208.639886,False,False
-7.95281,314,208.92129,False,False
-7.649,314,209.236752,False,False
-7.794106,314,209.680156,False,False
-7.73334,314,209.958875,False,False
-7.846685,314,210.20738,False,False
-7.751501,314,210.480864,False,False
-7.879727,314,210.745676,False,False
-7.796987,314,211.044262,False,False
-7.802009,314,211.379838,False,False
