Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,1.9867501358522277,0.052778448282362375,11.0,-1.4039562262361271,-4.132332006885909,0.05065311542171257,0.0,0.0,0.0,110.0,0.0
1,0.01,1.9728380842377244,0.04059709299068331,10.983752750794663,-1.4034392562147933,-4.132215650091,0.04648592156095447,0.0,-20.0,-20.0,110.0,-8.749156709520578
2,0.02,1.9589253883384807,0.028416397641292206,10.967505438853635,-1.402227090575081,-4.1323715262959375,0.032237913241743237,0.0,-20.0,-20.0,110.0,-8.73266038122795
3,0.03,1.9450126856354406,0.016235708471862276,10.951258126266739,-1.401538361294751,-4.132599944401414,0.022609707328091224,0.0,-20.0,-20.0,110.0,-8.714551843472096
4,0.04,1.9310999090737928,0.004055094756412477,10.935010806495564,-1.4010575203325817,-4.132846239231159,0.014949144243474318,0.0,-20.0,-20.0,110.0,-8.697175602917426
5,0.05,1.9171871209460025,-0.008125510238804522,10.918763485674823,-1.4005846997306153,-4.13310791925657,0.007248573824538426,0.0,-20.0,-20.0,110.0,-8.68002688137647
6,0.06,1.9032743443998084,-0.020306132194869705,10.902516166106327,-1.4000611177886997,-4.1333775439266125,-0.00102280347163291,0.0,-20.0,-20.0,110.0,-8.662915920104668
7,0.07,1.889361586220216,-0.0324867773228496,10.886268848432723,-1.3994858268402828,-4.133647222931982,-0.009798023347967382,0.0,-20.0,-20.0,110.0,-8.645798930935884
8,0.08,1.8754488459702587,-0.044667444306332175,10.870021532590313,-1.3988715883607037,-4.133912000579959,-0.018895558520519915,0.0,-20.0,-20.0,110.0,-8.628680633617726
9,0.09,1.861536120847597,-0.05684812987918783,10.853774218296627,-1.3982312878433747,-4.134170015743626,-0.028167817717091426,0.0,-20.0,-20.0,110.0,-8.611572641792941
10,0.1,1.8476234074375724,-0.06902882970993025,10.837526905198787,-1.39757461483945,-4.1344215239685935,-0.037524625085939775,0.0,-20.0,-20.0,110.0,-8.594484941219916
11,0.11,1.8337107026008868,-0.08120953964762634,10.821279592968223,-1.3969078148177172,-4.134667613771036,-0.04691935741320117,0.0,-20.0,-20.0,110.0,-8.577423944864089
12,0.12,1.8197980039112012,-0.093390256410277,10.805032281349156,-1.3962348275907255,-4.134909439996719,-0.05633015859145455,0.0,-20.0,-20.0,110.0,-8.560392960873044
13,0.13,1.8058853097154588,-0.10557097724743277,10.78878497015472,-1.3955582556062867,-4.135148006924116,-0.06574748242187328,0.0,-20.0,-20.0,110.0,-8.543393619828219
14,0.14,1.791972618773853,-0.11775170038312069,10.772537659251793,-1.3948799495690778,-4.135384101673432,-0.07516753059116264,0.0,-20.0,-20.0,110.0,-8.526426709300999
15,0.15,1.7780599302318352,-0.12993242434560215,10.756290348542542,-1.3942008410520756,-4.135618347263708,-0.08458890613228422,0.0,-20.0,-20.0,110.0,-8.509492673714538
16,0.16,1.7641472434319228,-0.14211314862713748,10.740043037967014,-1.393521363400576,-4.135851215149131,-0.0940110478936976,0.0,-20.0,-20.0,110.0,-8.492591766465875
17,0.17,1.7502345579008276,-0.154293872985875,10.723795727485074,-1.3928417379781728,-4.1360830481685165,-0.10343369988345062,0.0,-20.0,-20.0,110.0,-8.475724193652606
18,0.18,1.7363218733095531,-0.1664745972843818,10.707548417069576,-1.3921620861032666,-4.136314085940494,-0.11285672896928649,0.0,-20.0,-20.0,110.0,-8.458890146725004
19,0.19,1.7224091894367357,-0.1786553214482439,10.691301106702703,-1.3914824718858418,-4.136544488819034,-0.12228005754837833,0.0,-20.0,-20.0,110.0,-8.442089811544546
20,0.2,1.708496506131948,-0.19083604545355318,10.675053796372996,-1.3908029204728765,-4.136774365502777,-0.1317036319421873,0.0,-20.0,-20.0,110.0,-8.425323370638637
21,0.21,1.6945838232820298,-0.20301676932113089,10.658806486072786,-1.3901234187642355,-4.1370037975884815,-0.14112740543068664,0.0,-20.0,-20.0,110.0,-8.40859100552971
22,0.22,1.6806711407611776,-0.21519749312057013,10.64255917579469,-1.3894439235254132,-4.137232866808054,-0.15055132626305565,0.0,-20.0,-20.0,110.0,-8.391892896812198
23,0.23,1.6667584584799942,-0.22737821690952043,10.626311865533653,-1.3887643781427743,-4.137461668379806,-0.15997533737779213,0.0,-20.0,-20.0,110.0,-8.375229226121217
24,0.24,1.6528457763248854,-0.23955894075530496,10.610064555283122,-1.3880847512677081,-4.137690263914775,-0.16939940274311363,0.0,-20.0,-20.0,110.0,-8.358600182375342
25,0.25,1.6389330942481497,-0.2517396646743843,10.593817245040054,-1.3874050318088587,-4.137918689417485,-0.1788235021083714,0.0,-20.0,-20.0,110.0,-8.342005952076894
26,0.26,1.6250204122217937,-0.2639203886670494,10.577569934802428,-1.386725219960197,-4.138146965777262,-0.18824762424567204,0.0,-20.0,-20.0,110.0,-8.325446721807443
27,0.27,1.6111077302297527,-0.2761011127256002,10.561322624568897,-1.386045321558605,-4.138375104947665,-0.19767176295529795,0.0,-20.0,-20.0,110.0,-8.30892267857845
28,0.28,1.5971950482628614,-0.28828183683923436,10.545075314338533,-1.3853653446234568,-4.138603113770049,-0.20709591476401948,0.0,-20.0,-20.0,110.0,-8.292434010055532
