Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,0.44995336442430667,-2.8917749272668827,11.0,2.165889121158209,-0.5211921863900727,-0.009852267676268176,0.0,0.0,0.0,110.0,0.0
1,0.01,0.4523235179655186,-2.887503797575486,10.97040677013998,2.1661434343680672,-0.5208173028949208,-0.013993105319010097,0.0,-20.0,-20.0,110.0,-8.415739768240657
2,0.02,0.4546930243992444,-2.8832320072204825,10.94081355937629,2.1664576124898365,-0.5200886061500314,-0.028180683612563966,0.0,-20.0,-20.0,110.0,-8.387178915269201
3,0.03,0.4570625241893238,-2.8789602106691734,10.911220348783772,2.166539251427493,-0.5197197633952353,-0.03776649924786734,0.0,-20.0,-20.0,110.0,-8.35697839955455
4,0.04,0.45943194959908173,-2.8746883388018287,10.881627140365326,2.1665370389063163,-0.51949089169604,-0.045397712558116504,0.0,-20.0,-20.0,110.0,-8.327484527811771
5,0.05,0.46180136357437507,-2.8704164582472234,10.852033932171375,2.166524438787932,-0.5192745737368962,-0.05307647204157438,0.0,-20.0,-20.0,110.0,-8.298190633230194
6,0.06,0.4641707894509766,-2.8661445948262454,10.822440723437328,2.1665266660798523,-0.5190304306017856,-0.06132897859506809,0.0,-20.0,-20.0,110.0,-8.268906207195684
7,0.07,0.46654023398598854,-2.861872754614402,10.792847513995,2.166548788627173,-0.5187549303702825,-0.07008458097171047,0.0,-20.0,-20.0,110.0,-8.23958721520871
8,0.08,0.46890969664066395,-2.857600936284848,10.76325430388981,2.166589449713711,-0.5184545949403135,-0.0791599840961817,0.0,-20.0,-20.0,110.0,-8.210238569204725
9,0.09,0.4712791744762429,-2.8533291365861215,10.733661093218076,2.1666450723248283,-0.5181368172841113,-0.08840770869219214,0.0,-20.0,-20.0,110.0,-8.180872014718236
10,0.1,0.4736486640248494,-2.84905735120826,10.704067882111298,2.1667116670915934,-0.5178074649632384,-0.09773827532740784,0.0,-20.0,-20.0,110.0,-8.151497451311323
11,0.11,0.47601816213161746,-2.8447855760018608,10.674474670697716,2.1667859424748164,-0.5174705032775502,-0.10710567370096627,0.0,-20.0,-20.0,110.0,-8.122121139426689
12,0.12,0.4783876663875258,-2.8405138078505283,10.644881459073275,2.1668653888485365,-0.5171284191616763,-0.11648843211993315,0.0,-20.0,-20.0,110.0,-8.0927462032225
13,0.13,0.4807571751390278,-2.836242043445669,10.615288247348062,2.1669477944182254,-0.516782777589011,-0.12587729458796146,0.0,-20.0,-20.0,110.0,-8.063374186943253
14,0.14,0.4831266871609335,-2.831970281237412,10.585695035569541,2.1670315069459307,-0.5164346047713171,-0.1352687271489151,0.0,-20.0,-20.0,110.0,-8.034005680035925
15,0.15,0.48549620156760886,-2.8276985197402045,10.556101823785836,2.167115781510462,-0.5160846160253556,-0.14466142994303316,0.0,-20.0,-20.0,110.0,-8.004640992080418
16,0.16,0.4878657176987761,-2.8234267585399127,10.5265086120066,2.1672002572506566,-0.5157333158965105,-0.15405486725592002,0.0,-20.0,-20.0,110.0,-7.975280229737409
17,0.17,0.49023523508683126,-2.819154997409569,10.496915400236158,2.1672847437631693,-0.515381058268667,-0.16344879066604728,0.0,-20.0,-20.0,110.0,-7.94587778866682
18,0.18,0.4926047534096619,-2.8148832362188014,10.467322188476514,2.1673691349651025,-0.5150280853528993,-0.17284307022262524,0.0,-20.0,-20.0,110.0,-7.916083303798638
19,0.19,0.494974272451318,-2.810611474898294,10.437728976728318,2.1674533763503865,-0.5146745578398724,-0.18223762960565051,0.0,-20.0,-20.0,110.0,-7.886286322917092
20,0.2,0.4973437920632285,-2.8063397134299857,10.408135764990904,2.167537450516967,-0.514320586152185,-0.1916324146809886,0.0,-20.0,-20.0,110.0,-7.856486789239663
21,0.21,0.49971331212883496,-2.8020679518396983,10.378542553262234,2.1676213778866322,-0.5139662573521945,-0.20102737685943595,0.0,-20.0,-20.0,110.0,-7.826684643088006
22,0.22,0.5020828325109089,-2.7977961902043713,10.348949341538146,2.1677052115335895,-0.5136116672182267,-0.21042246124656894,0.0,-20.0,-20.0,110.0,-7.7968798217563755
23,0.23,0.5044523531160869,-2.793524428580593,10.319356129815652,2.1677890084484415,-0.513256913023698,-0.21981761587490628,0.0,-20.0,-20.0,110.0,-7.767072263340472
24,0.24,0.5068218738393618,-2.78925266702629,10.289762918091608,2.1678727967192675,-0.512902054136892,-0.22921281004248528,0.0,-20.0,-20.0,110.0,-7.737261908761677
25,0.25,0.5091913946364667,-2.7849809055524917,10.260169706365192,2.167956584920373,-0.5125471249690903,-0.23860802679845933,0.0,-20.0,-20.0,110.0,-7.70744869495334
26,0.26,0.5115609154816662,-2.7807091441560687,10.230576494636285,2.1680403711280527,-0.5121921453083348,-0.24800325687300084,0.0,-20.0,-20.0,110.0,-7.677632557047933
27,0.27,0.5139304363602647,-2.776437382827277,10.200983282905124,2.1681241484253166,-0.51183712642471,-0.2573984951791412,0.0,-20.0,-20.0,110.0,-7.647813428670811
28,0.28,0.516299957263838,-2.7721656215541826,10.171390071172086,2.1682079081982364,-0.5114820748013692,-0.266793738856726,0.0,-20.0,-20.0,110.0,-7.617991242114743
