Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,-1.214677849428905,0.6700710647729629,11.0,5.291308888890191,-9.221526356687814,-0.4270306100182648,0.0,0.0,0.0,110.0,0.0
1,0.01,-1.2051999939093163,0.6813528005097442,10.971367257767143,5.29219333433625,-9.220926708831072,-0.4311953609006721,0.0,-20.0,-20.0,110.0,-8.168169418805036
2,0.02,-1.1957227832884914,0.6926351956773472,10.942734471460302,5.294668684697566,-9.219428610212528,-0.44547661033786556,0.0,-20.0,-20.0,110.0,-8.14130119578359
3,0.03,-1.1862455791370015,0.7039175972698193,10.914101684690962,5.29620591707882,-9.218544262003235,-0.45508692959901426,0.0,-20.0,-20.0,110.0,-8.112806615036876
4,0.04,-1.1767684490808163,0.7152000741129912,10.88546889281282,5.297356936555739,-9.21790874262241,-0.4626995172736937,0.0,-20.0,-20.0,110.0,-8.085047073353843
5,0.05,-1.1672913300343164,0.7264825603494846,10.856836100009602,5.298502841197533,-9.217283413072021,-0.47035284043893855,0.0,-20.0,-20.0,110.0,-8.05751588995357
6,0.06,-1.1578141985789014,0.7377650306247776,10.828203307750915,5.299751305146333,-9.216597768374688,-0.47859184870373983,0.0,-20.0,-20.0,110.0,-8.030021170071317
7,0.07,-1.148337048047611,0.7490474786892234,10.799570516545042,5.301097683355341,-9.215851558009337,-0.48735121183522356,0.0,-20.0,-20.0,110.0,-8.002518008198653
8,0.08,-1.1388598790772484,0.760329905706173,10.770937726396046,5.302512803258948,-9.21506124038113,-0.4964469051129295,0.0,-20.0,-20.0,110.0,-7.975011006204696
9,0.09,-1.1293826947049899,0.7716123149298288,10.742304937110212,5.3039703329147985,-9.214242501354995,-0.5057283575531093,0.0,-20.0,-20.0,110.0,-7.947511851153239
10,0.1,-1.1199054985314627,0.7828947105792077,10.713672148491282,5.305452280282931,-9.213406469478947,-0.5151024963841925,0.0,-20.0,-20.0,110.0,-7.920030633736383
11,0.11,-1.1104282938483425,0.7941770966448418,10.68503936037218,5.306948029342587,-9.212559968328037,-0.5245203443438077,0.0,-20.0,-20.0,110.0,-7.892573955108285
12,0.12,-1.1009510831581142,0.8054594760567554,10.656406572616264,5.308451653637449,-9.211706923701431,-0.5339582447214244,0.0,-20.0,-20.0,110.0,-7.86514528079899
