Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,1.0967198062829977,-1.4801616049732487,11.0,0.916651103999628,-0.4132685463921787,-0.0033059397670417608,0.0,0.0,0.0,110.0,0.0
1,0.01,1.0909652988790173,-1.4791619948662458,10.986311449396805,0.916897636745638,-0.4129839942747057,-0.0074543566142137325,0.0,-20.0,-20.0,110.0,-8.897993861984459
2,0.02,1.085210144713979,-1.4781617234476065,10.972622904709743,0.9171851118320422,-0.41256457407220404,-0.021659090842011564,0.0,-20.0,-20.0,110.0,-8.884729780073474
3,0.03,1.0794549838436969,-1.477161445856356,10.958934360070382,0.9172486218505325,-0.4124044111872178,-0.03126118504112305,0.0,-20.0,-20.0,110.0,-8.869824494398365
4,0.04,1.0736997486784194,-1.4761610928286077,10.94524581610477,0.9172319542498758,-0.4123415352570868,-0.03890849704229384,0.0,-20.0,-20.0,110.0,-8.855622948321827
5,0.05,1.0679445019954787,-1.4751607311746544,10.931557272194123,0.9172048755091172,-0.4122923317624089,-0.04660227815290325,0.0,-20.0,-20.0,110.0,-8.841619333515366
6,0.06,1.0621892670784758,-1.4741603867555066,10.917868728092154,0.9171916416293167,-0.41222795073492136,-0.054868275746163805,0.0,-20.0,-20.0,110.0,-8.827623651983473
7,0.07,1.0564340507067764,-1.4731600656753558,10.90418018375018,0.9171974546690729,-0.4121433054925176,-0.0636360994541699,0.0,-20.0,-20.0,110.0,-8.813592054832567
8,0.08,1.0506788523732753,-1.472159766583082,10.890491639186305,0.9172213105178991,-0.41204087939465095,-0.07272282756412626,0.0,-20.0,-20.0,110.0,-8.799529455411166
9,0.09,1.0449236691876516,-1.4711594862308859,10.876803094431743,0.9172599087844043,-0.41192481452695,-0.08198114321425692,0.0,-20.0,-20.0,110.0,-8.785447546622787
10,0.1,1.0391684977112277,-1.4701592202952583,10.863114549530927,0.9173094185789813,-0.41179900121936786,-0.09132168189686524,0.0,-20.0,-20.0,110.0,-8.771356198667766
11,0.11,1.0334133348095014,-1.469158964607635,10.849426004527974,0.91736662313405,-0.41166638432248437,-0.10069854715064318,0.0,-20.0,-20.0,110.0,-8.757261637993187
12,0.12,1.0276581780735579,-1.4681587159155312,10.83573745945756,0.9174290101528382,-0.4115289744248839,-0.11009039465610311,0.0,-20.0,-20.0,110.0,-8.743166971199948
