Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,-0.6148549435069952,2.782925846926139,11.0,1.4321878462286848,-0.9553518660678315,-0.011941073911027798,0.0,0.0,0.0,110.0,0.0
1,0.01,-0.615384536798342,2.787269479677771,10.990335305718697,1.432473613395734,-0.9550300223381917,-0.01608692804489641,0.0,-20.0,-20.0,110.0,-9.406263686007096
2,0.02,-0.6159147770359628,2.7916137734268505,10.980670617172697,1.4328954936090859,-0.954482935260335,-0.030285917722899985,0.0,-20.0,-20.0,110.0,-9.399159557544891
3,0.03,-0.6164450239539491,2.7959580733651537,10.971005928667312,1.4330499222673327,-0.9542366368509231,-0.039880701424730894,0.0,-20.0,-20.0,110.0,-9.390409413514943
4,0.04,-0.6169753451981945,2.8003024486986594,10.961341240809837,1.4331056575786512,-0.9541052580658457,-0.04751928381959374,0.0,-20.0,-20.0,110.0,-9.382363034794253
5,0.05,-0.6175056779164533,2.804646832711412,10.951676552977995,1.433151355059651,-0.953987088563713,-0.05520428947283305,0.0,-20.0,-20.0,110.0,-9.37451615495302
6,0.06,-0.6180359987982569,2.808991199580263,10.942011864914527,1.4332162465319938,-0.9538485059564682,-0.06346234851469781,0.0,-20.0,-20.0,110.0,-9.366679369096138
7,0.07,-0.6185663010736613,2.813335543200785,10.932347176579814,1.4333048785989815,-0.9536850543426248,-0.07222328431698506,0.0,-20.0,-20.0,110.0,-9.35880904166585
8,0.08,-0.6190965852643452,2.8176798649101236,10.922682487998733,1.4334145117864263,-0.9535008772368114,-0.08130410071321371,0.0,-20.0,-20.0,110.0,-9.350910188386647
9,0.09,-0.619626854281434,2.8220241679618896,10.913017799204166,1.4335404488951642,-0.9533014603909663,-0.09055734483912667,0.0,-20.0,-20.0,110.0,-9.342994562805313
10,0.1,-0.620157111581144,2.8263684566739387,10.90335311024648,1.4336780168433367,-0.9530915168601849,-0.09989348380591008,0.0,-20.0,-20.0,110.0,-9.335072045237165
11,0.11,-0.6206873603132758,2.8307127352016903,10.893688421177057,1.4338235702933713,-0.9528744196916485,-0.10926646306319675,0.0,-20.0,-20.0,110.0,-9.327148852458498
12,0.12,-0.6212176028901563,2.8350570067148517,10.884023732034919,1.4339744292866612,-0.9526523802367027,-0.11865479613362447,0.0,-20.0,-20.0,110.0,-9.319228073150649
13,0.13,-0.6217478409616288,2.8394012744050134,10.874359042872346,1.434128310338501,-0.9524268500683821,-0.12804921545529993,0.0,-20.0,-20.0,110.0,-9.311311206909174
14,0.14,-0.6222780757634804,2.8437455399227214,10.864694353709995,1.4342835456282972,-0.9521988074615555,-0.13744619178838302,0.0,-20.0,-20.0,110.0,-9.303398798650896
15,0.15,-0.6228083081738699,2.848089804724952,10.855029664569647,1.4344393758404665,-0.9519689496790891,-0.14684442820639537,0.0,-20.0,-20.0,110.0,-9.295491105143281
16,0.16,-0.6233385388542922,2.8524340692281585,10.84536497545068,1.4345954341034226,-0.9517377748523256,-0.15624339273361804,0.0,-20.0,-20.0,110.0,-9.287588196936257
17,0.17,-0.6238687682744454,2.856778333660739,10.835700286350969,1.4347515270386426,-0.9515056349717277,-0.16564283973207913,0.0,-20.0,-20.0,110.0,-9.279690109134352
18,0.18,-0.6243989967586255,2.861122598154448,10.826035597268397,1.4349075465743661,-0.9512727720704609,-0.17504264104430772,0.0,-20.0,-20.0,110.0,-9.271796863630756
19,0.19,-0.6249292245242347,2.865466862780099,10.816370908201112,1.4350634364554304,-0.9510393469048228,-0.18444272170125187,0.0,-20.0,-20.0,110.0,-9.263908476652771
20,0.2,-0.6254594517201137,2.869811127557908,10.806706219147134,1.4352191774830148,-0.9508054692562654,-0.19384302893793154,0.0,-20.0,-20.0,110.0,-9.256024960590423
21,0.21,-0.6259896784614752,2.8741553924634387,10.797041530103932,1.4353747884000594,-0.9505712244914918,-0.20324351555491166,0.0,-20.0,-20.0,110.0,-9.248146326100747
22,0.22,-0.6265199048824649,2.878499657421523,10.787376841067386,1.4355303203540608,-0.9503367046449619,-0.21264412800968066,0.0,-20.0,-20.0,110.0,-9.240272582503794
23,0.23,-0.6270501310753832,2.8828439223749105,10.77771215203453,1.435685831239377,-0.9501020068078265,-0.22204481339181764,0.0,-20.0,-20.0,110.0,-9.232403741749655
24,0.24,-0.6275803571478525,2.8871881872626144,10.76804746300204,1.4358413506774732,-0.9498671912262738,-0.23144553984426072,0.0,-20.0,-20.0,110.0,-9.224539820512451
25,0.25,-0.6281105831451758,2.891532452071946,10.758382773968842,1.4359968882926395,-0.9496322929018453,-0.24084628969140795,0.0,-20.0,-20.0,110.0,-9.216680832186228
26,0.26,-0.6286408090937589,2.8958767168050064,10.74871808493455,1.4361524428346606,-0.9493973320072954,-0.25024705323508906,0.0,-20.0,-20.0,110.0,-9.208826789248613
27,0.27,-0.629171035008696,2.9002209814709374,10.739053395899143,1.4363080077910662,-0.949162320040489,-0.25964782514866774,0.0,-20.0,-20.0,110.0,-9.200977703645007
28,0.28,-0.6297012608986212,2.9045652460813463,10.729388706862764,1.4364635747693066,-0.9489272635999443,-0.2690486024432831,0.0,-20.0,-20.0,110.0,-9.193133587030207
29,0.29,-0.63023148676871,2.908909510647703,10.719724017825614,1.436619135437568,-0.9486921666644537,-0.27844938335600744,0.0,-20.0,-20.0,110.0,-9.185294450914192
30,0.3,-0.6307617126224125,2.913253775180032,10.710059328787889,1.4367746825021492,-0.9484570318950787,-0.28785016676118763,0.0,-20.0,-20.0,110.0,-9.177460306747312
31,0.31,-0.6312919384623621,2.9175980396864407,10.700394639749744,1.436930210053503,-0.948221861315495,-0.29725095186978895,0.0,-20.0,-20.0,110.0,-9.169631165968232
32,0.32,-0.6318221642907859,2.921942304173166,10.690729950711297,1.4370857135379012,-0.9479866566237811,-0.3066517380822873,0.0,-20.0,-20.0,110.0,-9.16180704002923
33,0.33,-0.6323523901096524,2.9262865686448594,10.681065261672636,1.4372411895486117,-0.9477514193082298,-0.3160525249198167,0.0,-20.0,-20.0,110.0,-9.153987940408124
34,0.34,-0.6328826159207009,2.9306308331049515,10.671400572633816,1.4373966355663468,-0.9475161506755402,-0.32545331199236766,0.0,-20.0,-20.0,110.0,-9.14617387861266
35,0.35000000000000003,-0.6334128417254363,2.93497509755598,10.661735883594872,1.4375520497209557,-0.9472808518517034,-0.3348540989825588,0.0,-20.0,-20.0,110.0,-9.138364866181224
36,0.36,-0.6339430675251255,2.939319361999852,10.652071194555836,1.437707430603282,-0.9470455237833765,-0.34425488563482515,0.0,-20.0,-20.0,110.0,-9.13056091468212
37,0.37,-0.6344732933208094,2.9436636264380325,10.642406505516723,1.4378627771300143,-0.9468101672482995,-0.3536556717460363,0.0,-20.0,-20.0,110.0,-9.122762035712553
38,0.38,-0.6350035191133259,2.9480078908716676,10.63274181647755,1.4380180884521476,-0.9465747828739198,-0.3630564571565508,0.0,-20.0,-20.0,110.0,-9.114968240897923
39,0.39,-0.6355337449033409,2.9523521553016683,10.623077127438327,1.438173363894591,-0.9463393711602608,-0.3724572417418606,0.0,-20.0,-20.0,110.0,-9.10717954189142
40,0.4,-0.6360639706913793,2.956696419728764,10.613412438399063,1.4383286029159659,-0.9461039325031873,-0.381858025405206,0.0,-20.0,-20.0,110.0,-9.099395950373935
41,0.41000000000000003,-0.6365941964778538,2.9610406841535437,10.60374774935977,1.4384838050806847,-0.9458684672155226,-0.39125880807138985,0.0,-20.0,-20.0,110.0,-9.091617478054122
42,0.42,-0.6371244222630884,2.9653849485764763,10.59408306032045,1.438638970038329,-0.9456329755448493,-0.40065958968182597,0.0,-20.0,-20.0,110.0,-9.08384413666855
43,0.43,-0.6376546480473393,2.969729212997941,10.58441837128111,1.43879409750751,-0.9453974576878068,-0.41006037019069635,0.0,-20.0,-20.0,110.0,-9.076075937981848
44,0.44,-0.6381848738308087,2.974073477418239,10.574753682241754,1.4389491872627556,-0.9451619138012631,-0.4194611495620239,0.0,-20.0,-20.0,110.0,-9.06831289378687
45,0.45,-0.6387150996136568,2.97841774183761,10.565088993202385,1.4391042391236883,-0.9449263440109208,-0.42886192776746174,0.0,-20.0,-20.0,110.0,-9.060555015904798
46,0.46,-0.639245325396011,2.9827620062562454,10.555424304163006,1.4392592529461001,-0.9446907484179424,-0.43826270478462054,0.0,-20.0,-20.0,110.0,-9.052802316185248
47,0.47000000000000003,-0.6397755511779726,2.987106270674296,10.54575961512362,1.439414228614645,-0.944455127104073,-0.44766348059579003,0.0,-20.0,-20.0,110.0,-9.045054806506347
48,0.48,-0.6403057769596221,2.991450535091883,10.536094926084226,1.4395691660369307,-0.9442194801356393,-0.4570642551869548,0.0,-20.0,-20.0,110.0,-9.037312498774796
