Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,0.0,-0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0
1,0.01,6.316955244560584e-07,-6.317247907899007e-07,4.979999999994892,0.0002165732207257075,0.0002181722643784621,-0.004152746740929847,0.0,-20.0,-20.0,110.0,-2.191894074084044
2,0.02,6.168887121218263e-07,-6.01741980982073e-07,4.959999999990668,0.0004014644365245695,0.0004103858495146547,-0.018366284664491264,0.0,-20.0,-20.0,110.0,-2.169844657214066
3,0.03,5.953313169358581e-07,-5.656085488314714e-07,4.939999999983754,0.00039549326780116467,0.0004170781300563854,-0.027978828160567203,0.0,-20.0,-20.0,110.0,-2.1461210896037763
4,0.04,4.995586364775698e-07,-4.540248928214821e-07,4.919999999979568,0.000323446787762592,0.00035776697026057536,-0.03563790613121974,0.0,-20.0,-20.0,110.0,-2.1230674711121122
5,0.05,3.9216559489842133e-07,-3.3379356728738197e-07,4.899999999975416,0.00024073561040150495,0.00028397678708186493,-0.04334299368669363,0.0,-20.0,-20.0,110.0,-2.100179116829842
6,0.06,2.9644083278040854e-07,-2.3093035819532502e-07,4.87999999997082,0.00016783483547385436,0.0002161139494372438,-0.05161879286654252,0.0,-20.0,-20.0,110.0,-2.077265957343389
7,0.07,2.1916687577982868e-07,-1.5151840034082064e-07,4.859999999965856,0.00011045520986676391,0.00016040127385422417,-0.06039502942143456,0.0,-20.0,-20.0,110.0,-2.0542842243446935
8,0.08,1.5986236994174345e-07,-9.418991694849014e-08,4.839999999960669,6.892002925428115e-05,0.00011730702105834312,-0.06948907046273316,0.0,-20.0,-20.0,110.0,-2.0312385740446195
9,0.09,1.1567422049001605e-07,-5.570606455665662e-08,4.81999999995536,4.099305834016146e-05,8.507035037862214e-05,-0.07875378747808519,0.0,-20.0,-20.0,110.0,-2.008140382762695
10,0.1,8.318949637094151e-08,-3.1735458845141304e-08,4.799999999949993,2.348022104489192e-05,6.125090290278777e-05,-0.08809998447767994,0.0,-20.0,-20.0,110.0,-1.9849991995818965
11,0.11,5.929364025981119e-08,-1.8093470576541657e-08,4.7799999999445975,1.3484309400964996e-05,4.3652251579848e-05,-0.09748192116881335,0.0,-20.0,-20.0,110.0,-1.96182091401956
12,0.12,4.158170337581411e-08,-1.1375133297018916e-08,4.759999999939189,8.580544963638444e-06,3.061001473327411e-05,-0.10687841492971861,0.0,-20.0,-20.0,110.0,-1.938608310315466
13,0.13,2.84170454390903e-08,-8.508320931070911e-09,4.739999999933776,6.492916058956073e-06,2.0906221869486487e-05,-0.11628052860546102,0.0,-20.0,-20.0,110.0,-1.9153625093624314
14,0.14,1.8554929871418546e-08,-7.585739566252585e-09,4.719999999928358,5.692007134051215e-06,1.3647784864439538e-05,-0.12568496870245316,0.0,-20.0,-20.0,110.0,-1.892083759368671
15,0.15,1.1108422020802884e-08,-7.361164318797351e-09,4.69999999992294,5.4836611643147175e-06,8.164985549872339e-06,-0.1350905366260822,0.0,-20.0,-20.0,110.0,-1.8687719582805085
16,0.16,5.408826958817327e-09,-7.432500522976056e-09,4.679999999917521,5.524816892124937e-06,3.967507083111998e-06,-0.14449675180406954,0.0,-20.0,-20.0,110.0,-1.8454268351621599
17,0.17,9.780889058151694e-10,-7.57317899460982e-09,4.659999999912101,5.629359846107103e-06,7.033034561371473e-07,-0.15390339859437616,0.0,-20.0,-20.0,110.0,-1.822048079397286
18,0.18,-2.516173685900387e-09,-7.647594602168007e-09,4.6399999999066806,5.689259355190095e-06,-1.8725111140116668e-06,-0.16331036724133416,0.0,-20.0,-20.0,110.0,-1.7986353636790389
19,0.19,-5.296331915195448e-09,-7.579239200921256e-09,4.61999999990126,5.6451057259430465e-06,-3.922849041251646e-06,-0.1727175952160126,0.0,-20.0,-20.0,110.0,-1.7751883519580445
20,0.2,-7.511757174991599e-09,-7.33777359920016e-09,4.59999999989584,5.472570213368145e-06,-5.555995606049553e-06,-0.1821250400618982,0.0,-20.0,-20.0,110.0,-1.7517067013807863
21,0.21,-9.271595381425589e-09,-6.9425648913550196e-09,4.57999999989042,5.18544599696938e-06,-6.8517372154523435e-06,-0.19153266382592707,0.0,-20.0,-20.0,110.0,-1.7281900637804193
22,0.22,-1.0697626039254216e-08,-6.461962775401017e-09,4.559999999885,4.830980426580026e-06,-7.889809787577126e-06,-0.20094042164526865,0.0,-20.0,-20.0,110.0,-1.7046380861755404
23,0.23,-1.1879419747641838e-08,-5.957856651136521e-09,4.53999999987958,4.472981388775338e-06,-8.766053009228748e-06,-0.2103482608833267,0.0,-20.0,-20.0,110.0,-1.6810504116946186
24,0.24,-1.293036813692264e-08,-5.501545279855264e-09,4.51999999987416,4.148961939979806e-06,-9.544171335831499e-06,-0.21975614713076533,0.0,-20.0,-20.0,110.0,-1.6574266865142422
25,0.25,-1.3900573576205706e-08,-5.1134738444310625e-09,4.49999999986874,3.873908777721595e-06,-1.026161591969292e-05,-0.22916406085989777,0.0,-20.0,-20.0,110.0,-1.6337665501394398
26,0.26,-1.4819083722402943e-08,-4.796065916429054e-09,4.4799999998633195,3.650035412709982e-06,-1.0940263405917446e-05,-0.23857199117578406,0.0,-20.0,-20.0,110.0,-1.610069637620913
27,0.27,-1.5702672975392628e-08,-4.542948150172983e-09,4.459999999857899,3.4729629513816493e-06,-1.1592695282023914e-05,-0.24797993204865687,0.0,-20.0,-20.0,110.0,-1.5863355798445156
28,0.28,-1.656092562324137e-08,-4.344106227292256e-09,4.439999999852479,3.3355333485012224e-06,-1.222611795318257e-05,-0.25738788010773933,0.0,-20.0,-20.0,110.0,-1.5625640036965962
29,0.29,-1.7399473139955867e-08,-4.1888994583313694e-09,4.419999999847059,3.2300667425364044e-06,-1.2844792236271676e-05,-0.26679583339565743,0.0,-20.0,-20.0,110.0,-1.5387545321525704
30,0.3,-1.822192636002427e-08,-4.067671592155441e-09,4.399999999841639,3.1495688995884806e-06,-1.3451464128028647e-05,-0.2762037906915174,0.0,-20.0,-20.0,110.0,-1.5149067843131938
31,0.31,-1.9030925827843326e-08,-3.972427740381761e-09,4.379999999836219,3.0882375609766334e-06,-1.404813999769522e-05,-0.2856117511582239,0.0,-20.0,-20.0,110.0,-1.4910203754079694
32,0.32,-1.9828643693095175e-08,-3.896930094837663e-09,4.359999999830799,3.041537059439765e-06,-1.4636459430259228e-05,-0.29501971416775025,0.0,-20.0,-20.0,110.0,-1.467094916778849
