Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,1.9629448905616254,0.5726701525122989,11.0,0.557616280975757,-0.5746630849052844,-0.0027964250637098594,0.0,0.0,0.0,110.0,0.0
1,0.01,1.9736798297095062,0.5731469495298597,10.986281853881497,0.5578745137935055,-0.5744045269884913,-0.006946732730910739,0.0,-20.0,-20.0,110.0,-9.08817600978569
2,0.02,1.984414122183344,0.5736244079448035,10.972563707714446,0.5582020364387572,-0.5740740788454476,-0.021155197116370796,0.0,-20.0,-20.0,110.0,-9.078393522809383
3,0.03,1.995148407933927,0.5741018725278306,10.958845561537299,0.5582926182080692,-0.5739740021969926,-0.030760613733485716,0.0,-20.0,-20.0,110.0,-9.066986521480056
4,0.04,2.0058826194380557,0.5745794125175604,10.945127415352045,0.5582975169194333,-0.5739589539002017,-0.03841090201546027,0.0,-20.0,-20.0,110.0,-9.056299454815788
5,0.05,2.0166168193700775,0.5750569612146347,10.931409269135496,0.558292142351142,-0.5739578850660196,-0.04610717375287412,0.0,-20.0,-20.0,110.0,-9.045827170575274
6,0.06,2.0273510310458915,0.5755344926378002,10.917691122868181,0.558302227822946,-0.5739452553126194,-0.054375110575807926,0.0,-20.0,-20.0,110.0,-9.035379450060223
7,0.07,2.0380852612377804,0.5760120007056977,10.90397297655892,0.5583327888721485,-0.5739155275977454,-0.06314464936591946,0.0,-20.0,-20.0,110.0,-9.024912647653572
8,0.08,2.0488195094485926,0.5764894867714713,10.890254830216039,0.5583823115401166,-0.5738700256498367,-0.07223305711509986,0.0,-20.0,-20.0,110.0,-9.014431706015595
9,0.09,2.059553772802361,0.576966954081676,10.876536683842387,0.5584470806727023,-0.5738119595249344,-0.08149305145669827,0.0,-20.0,-20.0,110.0,-9.003948350794207
10,0.1,2.0702880478670416,0.5774444069627713,10.862818537445714,0.5585230115816241,-0.5737446548353428,-0.09083525533252272,0.0,-20.0,-20.0,110.0,-8.993472500317491
11,0.11,2.0810223315114618,0.5779218495858747,10.849100391035234,0.5586067552254964,-0.5736707668372251,-0.10021376000591857,0.0,-20.0,-20.0,110.0,-8.983010432007278
12,0.12,2.0917566213254073,0.5783992852345223,10.835382244618748,0.5586957277151305,-0.5735921723794417,-0.10960722204895444,0.0,-20.0,-20.0,110.0,-8.972565309237623
13,0.13,2.1024909156694815,0.5788767170452073,10.82166409821034,0.5587876323193914,-0.5735101799261847,-0.1190065361585167,0.0,-20.0,-20.0,110.0,-8.962138664852828
14,0.14,2.1132252132990352,0.5793541467962103,10.807945951814839,0.5588808653951354,-0.5734257133499325,-0.1284082903359977,0.0,-20.0,-20.0,110.0,-8.951731125350797
15,0.15,2.12395951333367,0.5798315758403012,10.79422780543658,0.5589746981721126,-0.5733394519804849,-0.13781123752673993,0.0,-20.0,-20.0,110.0,-8.941342994713146
16,0.16,2.1346938151079353,0.5803090045868827,10.780509659072877,0.5590687749076687,-0.5732518885087605,-0.14721487207709674,0.0,-20.0,-20.0,110.0,-8.930974398554389
17,0.17,2.1454281181474766,0.5807864332635638,10.766791512721182,0.5591629054841832,-0.5731633744343081,-0.15661896374017192,0.0,-20.0,-20.0,110.0,-8.920625425260363
18,0.18,2.1561624221235087,0.5812638620042329,10.753073366379505,0.5592569815663909,-0.5730741530761936,-0.16602339380316847,0.0,-20.0,-20.0,110.0,-8.910296149292629
19,0.19,2.166896726815936,0.5817412908828185,10.739355220046356,0.5593509450477461,-0.5729843861539804,-0.17542809375413246,0.0,-20.0,-20.0,110.0,-8.899986639169189
20,0.2,2.17763103207568,0.5822187199250072,10.725637073720488,0.5594447738227721,-0.5728941824307761,-0.18483301626535212,0.0,-20.0,-20.0,110.0,-8.889696959345814
21,0.21,2.188365337790918,0.5826961491091938,10.711918927400571,0.5595384838741843,-0.5728036240331892,-0.1942381190286294,0.0,-20.0,-20.0,110.0,-8.879427172142874
22,0.22,2.1990996438340287,0.5831735783637175,10.69820078108463,0.5596321239833342,-0.5727127958732696,-0.2036433531106337,0.0,-20.0,-20.0,110.0,-8.869177337906606
23,0.23,2.209833950115179,0.5836510076294553,10.684482634771184,0.5597257554755927,-0.5726217948320249,-0.21304866527136182,0.0,-20.0,-20.0,110.0,-8.858947518574848
24,0.24,2.220568256521862,0.5841284368387105,10.670764488458447,0.5598194121441253,-0.5725306830130336,-0.22245402214575793,0.0,-20.0,-20.0,110.0,-8.848737782435231
25,0.25,2.231302563006696,0.5846058659749852,10.657046342145783,0.5599131064441459,-0.572439496744613,-0.23185940499005184,0.0,-20.0,-20.0,110.0,-8.838548194451032
26,0.26,2.2420368695418365,0.5850832950379596,10.643328195832913,0.5600068389510509,-0.5723482571148067,-0.24126480342880444,0.0,-20.0,-20.0,110.0,-8.828378818749469
27,0.27,2.2527711761112856,0.5855607240352989,10.629610049519746,0.5601006042745853,-0.5722569761982277,-0.2506702117418301,0.0,-20.0,-20.0,110.0,-8.818229719006386
28,0.28,2.2635054827059027,0.5860381529777644,10.615891903206297,0.56019439466899,-0.5721656609130956,-0.26007562672742773,0.0,-20.0,-20.0,110.0,-8.808100958692647
29,0.29,2.2742397893202737,0.5865155818763896,10.60217375689262,0.5602882021414324,-0.5720743153833703,-0.2694810465137492,0.0,-20.0,-20.0,110.0,-8.797992601226001
30,0.3,2.284974095950866,0.5869930107410066,10.588455610578775,0.56038201955145,-0.5719829423106456,-0.2788864699205785,0.0,-20.0,-20.0,110.0,-8.78790471006115
31,0.31,2.2957084025950456,0.5874704395796672,10.574737464264814,0.5604758410420345,-0.5718915437054863,-0.28829189612994244,0.0,-20.0,-20.0,110.0,-8.777837348740903
32,0.32,2.3064427092506175,0.5879478683986101,10.561019317950773,0.5605696620657792,-0.5718001212317835,-0.29769732452399206,0.0,-20.0,-20.0,110.0,-8.767790580923586
33,0.33,2.3171770159156497,0.58842529720251,10.547301171636684,0.5606634792070139,-0.57170867634057,-0.3071027546092842,0.0,-20.0,-20.0,110.0,-8.757764470396332
34,0.34,2.327911322588436,0.5889027259948172,10.533583025322558,0.5607572899370313,-0.5716172103063022,-0.31650818598248875,0.0,-20.0,-20.0,110.0,-8.747759081080385
35,0.35000000000000003,2.3386456292674933,0.5893801547780825,10.51986487900841,0.5608510923808799,-0.571525724229984,-0.32591361831369503,0.0,-20.0,-20.0,110.0,-8.737774477032367
36,0.36,2.349379935951571,0.5898575835542188,10.506146732694239,0.5609448851295024,-0.5714342190399101,-0.3353190513358507,0.0,-20.0,-20.0,110.0,-8.727810722443728
37,0.37,2.3601142426396353,0.5903350123246898,10.492428586380054,0.5610386671030713,-0.5713426955004456,-0.3447244848357023,0.0,-20.0,-20.0,110.0,-8.717817137879766
38,0.38,2.3708485493308546,0.5908124410906382,10.478710440065857,0.5611324374577468,-0.5712511542289979,-0.3541299186450135,0.0,-20.0,-20.0,110.0,-8.70780284527037
39,0.39,2.3815828560245653,0.5912898698529712,10.46499229375165,0.5612261955240152,-0.5711595957176077,-0.36353535263219106,0.0,-20.0,-20.0,110.0,-8.697808959330226
