Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,1.7768478391115214,-0.1554441711773912,11.0,-4.965129057396447,4.5290984157693455,-0.19646598513048522,0.0,0.0,0.0,110.0,0.0
1,0.01,1.7880776608205338,-0.1640252094374614,10.991217190388829,-4.965242199623234,4.528956243069004,-0.20063787950408263,0.0,-20.0,-20.0,110.0,-9.289314515994024
2,0.02,1.7993068372719156,-0.1726055837179136,10.98243437440018,-4.966183526329219,4.527915613779179,-0.21488708203436174,0.0,-20.0,-20.0,110.0,-9.28463701586881
3,0.03,1.8105360067100011,-0.18118595195553305,10.973651558441484,-4.966954669278111,4.527085911425886,-0.2245552372442234,0.0,-20.0,-20.0,110.0,-9.27834759916864
4,0.04,1.8217651022455434,-0.1897662444725814,10.964868741783347,-4.9676387206976,4.526357907987748,-0.2322834410498574,0.0,-20.0,-20.0,110.0,-9.272777202830028
5,0.05,1.8329941856984693,-0.19834652876453226,10.956085925371381,-4.968336428063987,4.525611010295387,-0.24005663133703972,0.0,-20.0,-20.0,110.0,-9.267423861509137
6,0.06,1.844223280181865,-0.20692683115120122,10.947303109653909,-4.969068025678712,4.5248207785894445,-0.24839171739215296,0.0,-20.0,-20.0,110.0,-9.262099231576268
7,0.07,1.8554523925353428,-0.21550715769129505,10.938520294613536,-4.969822217775158,4.523999668163256,-0.2572176160006517,0.0,-20.0,-20.0,110.0,-9.25676081014168
8,0.08,1.8666815224667177,-0.22408750702384592,10.929737480155405,-4.970584282633226,4.523164001259657,-0.2663527435613363,0.0,-20.0,-20.0,110.0,-9.251413572330739
9,0.09,1.877910667317647,-0.23266787598978053,10.92095466621654,-4.971344882431055,4.522324797632132,-0.27565115351043984,0.0,-20.0,-20.0,110.0,-9.246069240241622
10,0.1,1.8891398238453971,-0.24124826015620554,10.91217185266973,-4.972100301363546,4.521487364003492,-0.2850249384035817,0.0,-20.0,-20.0,110.0,-9.240737741704503
11,0.11,1.9003689890512268,-0.24982865488749698,10.903389039350714,-4.972850359304862,4.520653426990542,-0.2944297489188157,0.0,-20.0,-20.0,110.0,-9.235425318635421
12,0.12,1.9115981606146701,-0.25840905612218895,10.894606226091174,-4.9735963419223586,4.519823057829765,-0.3038460168392211,0.0,-20.0,-20.0,110.0,-9.230135111197177
13,0.13,1.9228273368555493,-0.2669894611528517,10.885823412789495,-4.974340035005436,4.518995707846325,-0.3132660797280485,0.0,-20.0,-20.0,110.0,-9.224868460657643
14,0.14,1.934056516545146,-0.27556986766637837,10.877040599342427,-4.97508249910743,4.51817067412467,-0.32268738586709117,0.0,-20.0,-20.0,110.0,-9.219625997407247
15,0.15,1.9452856987425735,-0.28415027488870487,10.868257785757534,-4.975824278249793,4.517347335195782,-0.3321091154652851,0.0,-20.0,-20.0,110.0,-9.214407907564906
16,0.16,1.9565148827517855,-0.2927306824265273,10.85947497205599,-4.976565687984958,4.516525199760511,-0.3415310291457128,0.0,-20.0,-20.0,110.0,-9.209214274579129
