Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,-2.4355147135042405,-0.272117791100615,11.0,5.956001324562927,-3.4990224605086233,-0.1820852867288634,0.0,0.0,0.0,110.0,0.0
1,0.01,-2.426100118161239,-0.2566738797794534,10.988969204971143,5.95646916087576,-3.498374985000533,-0.1861978732040008,0.0,-20.0,-20.0,110.0,-9.10643197297308
2,0.02,-2.4166861717663433,-0.2412293107324926,10.977938438666708,5.957516432724417,-3.496712455999333,-0.2003126157971574,0.0,-20.0,-20.0,110.0,-9.09534682941052
3,0.03,-2.4072722318417936,-0.2257847353773874,10.966907672619898,5.958092819561952,-3.495715879147431,-0.2098278281568625,0.0,-20.0,-20.0,110.0,-9.082638323282696
4,0.04,-2.3978583665964974,-0.21034008510896068,10.955876909800306,5.95848364177376,-3.494989537263589,-0.21738499129471317,0.0,-20.0,-20.0,110.0,-9.070664263431043
5,0.05,-2.388444512502417,-0.19489542582409292,10.94484614723587,5.958866153898009,-3.494272316218648,-0.22499003899366027,0.0,-20.0,-20.0,110.0,-9.058918031895798
6,0.06,-2.379030646019528,-0.17945078306861714,10.933815383708144,5.95929305016701,-3.4934883186433856,-0.23317324878078313,0.0,-20.0,-20.0,110.0,-9.047208440107601
7,0.07,-2.3696167604527276,-0.16400616290479117,10.922784618996337,5.959765840769948,-3.4926385751045514,-0.2418651695401346,0.0,-20.0,-20.0,110.0,-9.035491107615512
8,0.08,-2.3602028564426267,-0.14856156410782975,10.911753853188989,5.960273622779369,-3.4917418776835687,-0.25088223072184446,0.0,-20.0,-20.0,110.0,-9.02377097070728
9,0.09,-2.3507889370708073,-0.13311698341954703,10.900723086436678,5.960805133499205,-3.490815566734831,-0.2600763278313468,0.0,-20.0,-20.0,110.0,-9.012059903552062
10,0.1,-2.3413750059177953,-0.1176724165909904,10.889692318962625,5.96135173298343,-3.4898716351203287,-0.2693570742410408,0.0,-20.0,-20.0,110.0,-9.000367894226443
11,0.11,-2.331961066233013,-0.1022278595712826,10.878661550989719,5.961907743710181,-3.488917267230714,-0.27867755462857513,0.0,-20.0,-20.0,110.0,-8.988701311167281
12,0.12,-2.3225471204777826,-0.08678330933182332,10.867630782682625,5.962469606580101,-3.487956506788085,-0.28801550507922635,0.0,-20.0,-20.0,110.0,-8.977063381730511
13,0.13,-2.313133170339812,-0.07133876335077155,10.856600014200694,5.9630349712014095,-3.4869916320037384,-0.2973608993095413,0.0,-20.0,-20.0,110.0,-8.965455692193034
14,0.14,-2.3037192170139695,-0.055894219768626636,10.845569245664468,5.96360203459446,-3.4860239510712336,-0.3067095297958441,0.0,-20.0,-20.0,110.0,-8.953878994045876
15,0.15,-2.29430526135421,-0.04044967720058284,10.834538477165925,5.964169772688941,-3.4850542799797704,-0.3160597556820943,0.0,-20.0,-20.0,110.0,-8.94233366274155
16,0.16,-2.284891303997551,-0.025005134990480557,10.823507708734358,5.96473771074536,-3.484083165837836,-0.32541088717669825,0.0,-20.0,-20.0,110.0,-8.930819905758975
17,0.17,-2.275477345398914,-0.009560592879793928,10.812476940368771,5.965305612448172,-3.4831109775047984,-0.3347625972338564,0.0,-20.0,-20.0,110.0,-8.919337868926473
18,0.18,-2.2660633858665538,0.0058839492643236405,10.801446172064077,5.965873358850698,-3.482137960099163,-0.3441147114639274,0.0,-20.0,-20.0,110.0,-8.907887679930013
19,0.19,-2.2566494256123617,0.021328491501204506,10.790415403813435,5.966440897043823,-3.4811642789326185,-0.3534671226722038,0.0,-20.0,-20.0,110.0,-8.896469457893954
20,0.2,-2.2472354647895516,0.0367730338270818,10.779384635607036,5.967008219369379,-3.480190057732349,-0.36281975098165237,0.0,-20.0,-20.0,110.0,-8.885083317181081
21,0.21,-2.2378215035476927,0.052217576196025836,10.768353867430893,5.967575356223075,-3.4792154060040814,-0.37217252660276773,0.0,-20.0,-20.0,110.0,-8.87372937156369
