Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,0.9567951429867684,1.3529482355206965,11.0,-0.29877193180697365,-3.2045587164324933,0.008357369754204834,0.0,0.0,0.0,110.0,0.0
1,0.01,0.9636182527530943,1.352896457066805,10.975787696209657,-0.2983227259145621,-3.204362224063629,0.004197687967414318,0.0,-20.0,-20.0,110.0,-8.446867812113863
2,0.02,0.9704407169139566,1.3528453392727353,10.951575352828149,-0.2973418122910814,-3.204244067657918,-0.010033588362372645,0.0,-20.0,-20.0,110.0,-8.424854579826567
3,0.03,0.9772631743163781,1.3527942276674938,10.927363009033277,-0.2968094717498701,-3.2042873862015417,-0.01964942504864088,0.0,-20.0,-20.0,110.0,-8.401206783570563
4,0.04,0.9840855576510745,1.3527431915393282,10.903150660700557,-0.29645302759652725,-3.2043864473101507,-0.02730099691629307,0.0,-20.0,-20.0,110.0,-8.378270996534084
5,0.05,0.9909079294575778,1.352692164135598,10.878938311676926,-0.2961051077600073,-3.204500104863255,-0.03499484405663699,0.0,-20.0,-20.0,110.0,-8.35554253870234
6,0.06,0.9977303129580865,1.3526411197238928,10.854725963396282,-0.29571559933216585,-3.2046106863712556,-0.043260611862868004,0.0,-20.0,-20.0,110.0,-8.33283169474057
7,0.07,1.0045527149437956,1.3525900521071663,10.830513616271245,-0.29528256009102527,-3.2047116043216306,-0.05203018739296216,0.0,-20.0,-20.0,110.0,-8.310094627494239
8,0.08,1.011375134930719,1.3525389626312616,10.806301270267848,-0.29481585129660104,-3.2048014251272043,-0.06112151653948812,0.0,-20.0,-20.0,110.0,-8.287336167059038
9,0.09,1.018197570077285,1.3524878545537558,10.782088925210104,-0.2943259703162573,-3.204881148452681,-0.07038700669711857,0.0,-20.0,-20.0,110.0,-8.264567929720247
10,0.1,1.0250200169477677,1.352436732202586,10.757876580883146,-0.2938211345893716,-3.204952773725216,-0.07973665186251219,0.0,-20.0,-20.0,110.0,-8.24179983424605
11,0.11,1.031842472393115,1.3523855997287966,10.733664237089043,-0.29330682237176686,-3.205018287193378,-0.08912398000064936,0.0,-20.0,-20.0,110.0,-8.219038197068237
12,0.12,1.0386649339888179,1.3523344603610432,10.709451893675231,-0.2927865848007273,-3.205079259856368,-0.09852722193681246,0.0,-20.0,-20.0,110.0,-8.19628622111866
13,0.13,1.0454874000816519,1.3522833169957995,10.68523955053405,-0.2922629175704186,-3.2051368765129276,-0.10793688163736244,0.0,-20.0,-20.0,110.0,-8.173545462893706
