Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,-0.5066667429701588,0.2843468644862125,11.0,-5.18228977955245,5.8850574554148265,-0.2665614003775724,0.0,0.0,0.0,110.0,0.0
1,0.01,-0.4960488546641095,0.28586669415804467,10.990710154074353,-5.182502189246801,5.884899504101128,-0.2707420812637281,0.0,-20.0,-20.0,110.0,-8.985698443252014
2,0.02,-0.4854316108854946,0.28738718877367314,10.981420314550437,-5.183782586343301,5.883804768699756,-0.2850211245424165,0.0,-20.0,-20.0,110.0,-8.977337385095662
3,0.03,-0.47481437412214456,0.28890768942400386,10.972130475202562,-5.184784395656758,5.882937953686922,-0.29471368585071644,0.0,-20.0,-20.0,110.0,-8.96734873446735
4,0.04,-0.4641972111915152,0.290428265881557,10.962840636623708,-5.185653298217455,5.882179884196853,-0.3024654430588513,0.0,-20.0,-20.0,110.0,-8.958064420362081
5,0.05,-0.4535800603675469,0.29194885049357217,10.953550798558345,-5.186536914007983,5.881402607542332,-0.3102630869261832,0.0,-20.0,-20.0,110.0,-8.948983632174796
6,0.06,-0.44296289857257837,0.2934694168793854,10.94426096101007,-5.187467618523121,5.880579848945144,-0.3186230742958564,0.0,-20.0,-20.0,110.0,-8.939918719717559
7,0.07,-0.4323457189698128,0.29498995899262104,10.934971123819741,-5.188432382870614,5.879724388297914,-0.3274735894319907,0.0,-20.0,-20.0,110.0,-8.93082749591167
8,0.08,-0.4217285218421621,0.2965104781940488,10.925681286893369,-5.189412138797233,5.878853251326483,-0.3366325589270151,0.0,-20.0,-20.0,110.0,-8.921715064552336
9,0.09,-0.4111113098329808,0.29803097761109915,10.916391450220997,-5.190394067625231,5.877978014224349,-0.34595384680028857,0.0,-20.0,-20.0,110.0,-8.912593208123365
10,0.1,-0.40049408616428983,0.2995514617499075,10.907101613727484,-5.191372405423109,5.877104315996973,-0.35534958576446896,0.0,-20.0,-20.0,110.0,-8.903471885881899
11,0.11,-0.38987685381007997,0.30107193519045283,10.897811777305279,-5.192346001260342,5.876234041785835,-0.36477561300925726,0.0,-20.0,-20.0,110.0,-8.8943572892689
12,0.12,-0.37925961508399547,0.30259240228183354,10.888521940799418,-5.193315803066129,5.875367321261315,-0.3742126016549018,0.0,-20.0,-20.0,110.0,-8.885252584124935
13,0.13,-0.36864237166357133,0.3041128655874854,10.879232104151038,-5.194283440774013,5.874503608304992,-0.38365311679979364,0.0,-20.0,-20.0,110.0,-8.87615904676157
14,0.14,-0.3580251247861507,0.30563332748713967,10.869942267272377,-5.195249863679601,5.873642193076893,-0.3930947155026233,0.0,-20.0,-20.0,110.0,-8.86707729504067
15,0.15,-0.34740787539786844,0.3071537886586488,10.86065243019988,-5.196215596658456,5.872782451198843,-0.4025366303216977,0.0,-20.0,-20.0,110.0,-8.858007487975856
16,0.16,-0.33679062419390915,0.308674249515705,10.851362592967979,-5.197180954756101,5.87192388724629,-0.4119786585233556,0.0,-20.0,-20.0,110.0,-8.848949699495423
17,0.17,-0.32617337168351707,0.31019471031715473,10.842072755605905,-5.198146137449126,5.871066125163519,-0.42142076912683846,0.0,-20.0,-20.0,110.0,-8.83990397171721
18,0.18,-0.3155561182352142,0.31171517122517917,10.832782918137093,-5.199111267643616,5.870208890331058,-0.4308629693901122,0.0,-20.0,-20.0,110.0,-8.830870336908479
19,0.19,-0.3049388641025686,0.3132356323398207,10.823493080578713,-5.200076419940006,5.869351992825073,-0.44030526759770683,0.0,-20.0,-20.0,110.0,-8.821848825927542
20,0.2,-0.294321609448452,0.3147560937186991,10.814203242942396,-5.201041640919104,5.868495312601092,-0.44974767016306993,0.0,-20.0,-20.0,110.0,-8.812839470654161
21,0.21,-0.2837043543692561,0.3162765553690527,10.80491340523746,-5.202006937736214,5.8676387796379315,-0.4591901817535301,0.0,-20.0,-20.0,110.0,-8.803842303311653
22,0.22,-0.273087098930939,0.31779701725214493,10.79562356747425,-5.202972277009764,5.866782346952633,-0.46863279795263574,0.0,-20.0,-20.0,110.0,-8.794857355231427
23,0.23,-0.2624698432227865,0.31931747927793247,10.786333729670167,-5.203937593815256,5.865925957261572,-0.47807549427879187,0.0,-20.0,-20.0,110.0,-8.785884656697123
24,0.24,-0.2518525873114087,0.32083794137201954,10.777043891838858,-5.204902814303915,5.865069539064612,-0.48751823220803453,0.0,-20.0,-20.0,110.0,-8.776924239529732
25,0.25,-0.24123533128707542,0.32235840345946454,10.76775405399646,-5.205867892274488,5.864213043954025,-0.49696098438345676,0.0,-20.0,-20.0,110.0,-8.767976140015213
26,0.26,-0.23061807519168656,0.3238788655111761,10.75846421614995,-5.206832804366707,5.863356441559138,-0.5064037337281903,0.0,-20.0,-20.0,110.0,-8.759040393006194
27,0.27,-0.2200008190512885,0.32539932751674056,10.749174378302966,-5.207797541517394,5.862499713265567,-0.5158464700580397,0.0,-20.0,-20.0,110.0,-8.75011703309042
28,0.28,-0.20938356288134977,0.3269197894762189,10.739884540457105,-5.208762102871723,5.861642848070195,-0.5252891875197575,0.0,-20.0,-20.0,110.0,-8.741206094660932
29,0.29,-0.19876630669074416,0.3284402513948341,10.73059470261281,-5.209726491718895,5.86078583965597,-0.5347318828132189,0.0,-20.0,-20.0,110.0,-8.732307612004293
30,0.3,-0.18814905048455455,0.32996071327967946,10.721304864769964,-5.210690712928905,5.859928684391797,-0.54417455405626,0.0,-20.0,-20.0,110.0,-8.72342161937258
31,0.31,-0.1775317942658677,0.3314811751378319,10.712015026928247,-5.211654771473854,5.859071380066346,-0.553617200113061,0.0,-20.0,-20.0,110.0,-8.714548151032151
32,0.32,-0.16691453803680398,0.333001636975433,10.70272518908732,-5.212618671703988,5.858213925162997,-0.5630598202256367,0.0,-20.0,-20.0,110.0,-8.705687241293449
33,0.33,-0.15629728179903526,0.33452209879739486,10.693435351246908,-5.213582417106815,5.857356318493512,-0.5725024138279179,0.0,-20.0,-20.0,110.0,-8.696838924527873
34,0.34,-0.1456800255540025,0.33604256060745574,10.684145513406826,-5.214546010334669,5.856498559042219,-0.5819449804610579,0.0,-20.0,-20.0,110.0,-8.688003235176634
35,0.35000000000000003,-0.13506276930298233,0.337563022408388,10.67485567556695,-5.215509453348895,5.855640645916403,-0.5913875197392635,0.0,-20.0,-20.0,110.0,-8.679180207755003
36,0.36,-0.12444551304709411,0.33908348420223516,10.665565837727215,-5.216472747588283,5.854782578338937,-0.6008300313371808,0.0,-20.0,-20.0,110.0,-8.67036987685406
37,0.37,-0.1138282567872949,0.3406039459905182,10.656275999887578,-5.217435894116441,5.853924355650105,-0.6102725149841469,0.0,-20.0,-20.0,110.0,-8.661572277141177
38,0.38,-0.10321100052438119,0.3421244077743907,10.646986162048021,-5.218398893733413,5.85306597730527,-0.6197149704591215,0.0,-20.0,-20.0,110.0,-8.652787443360138
39,0.39,-0.09259374425900066,0.3436448695547469,10.637696324208525,-5.219361747053105,5.852207442865898,-0.6291573975846397,0.0,-20.0,-20.0,110.0,-8.644015410331036
40,0.4,-0.08197648799167104,0.34516533133229244,10.628406486369084,-5.220324454554431,5.851348751985903,-0.6385997962200314,0.0,-20.0,-20.0,110.0,-8.635256212950255
41,0.41000000000000003,-0.07135923172280183,0.34668579310759107,10.619116648529687,-5.2212870166146645,5.850489904396223,-0.6480421662546271,0.0,-20.0,-20.0,110.0,-8.626509886190465
42,0.42,-0.06074197545271523,0.3482062548810954,10.609826810690327,-5.222249433531778,5.84963089988997,-0.6574845076016098,0.0,-20.0,-20.0,110.0,-8.617776465100677
43,0.43,-0.0501247191816645,0.34972671665316934,10.600536972850998,-5.223211705540316,5.848771738309432,-0.6669268201928158,0.0,-20.0,-20.0,110.0,-8.609055984806279
44,0.44,-0.03950746290984907,0.3512471784241048,10.591247135011692,-5.224173832823441,5.847912419535385,-0.6763691039745546,0.0,-20.0,-20.0,110.0,-8.600348480509059
