Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,-0.8351181519997621,1.1595128082031818,11.0,9.904039970703112,-5.717921899944493,-0.4958373010963213,0.0,0.0,0.0,110.0,0.0
1,0.01,-0.84510778287785,1.165439818326053,10.986960647069624,9.904662391024369,-5.7169937039023555,-0.49990648784789116,0.0,-20.0,-20.0,110.0,-8.997465927065079
2,0.02,-0.8550980651921788,1.171367481948486,10.973921342026994,9.906242930761328,-5.7143684506243195,-0.5138993708767466,0.0,-20.0,-20.0,110.0,-8.987688778011343
3,0.03,-0.8650883538138753,1.177295151981448,10.960882037459797,9.907177635279517,-5.712727620145896,-0.5233142393045437,0.0,-20.0,-20.0,110.0,-8.976272672984964
4,0.04,-0.8750787174984627,1.183222896355775,10.947842738245745,9.907851748757807,-5.711492981353442,-0.5307765004709618,0.0,-20.0,-20.0,110.0,-8.965583177084643
5,0.05,-0.8850690920868063,1.1891506500225724,10.934803439545902,9.908519101139145,-5.710263868036353,-0.5382873385065561,0.0,-20.0,-20.0,110.0,-8.95511217829734
6,0.06,-0.8950594538226637,1.1950783877489908,10.92176413936879,9.909252877856968,-5.708926960139538,-0.5463783290650496,0.0,-20.0,-20.0,110.0,-8.944667107843994
7,0.07,-0.9050497960606996,1.2010061034935593,10.908724837335093,9.910052057159072,-5.707487894110305,-0.5549811733018906,0.0,-20.0,-20.0,110.0,-8.93420293307018
8,0.08,-0.9150401195384973,1.2069337983745732,10.895685533565246,9.910898685843268,-5.705978272784569,-0.5639125718250518,0.0,-20.0,-20.0,110.0,-8.923724359723185
9,0.09,-0.9250304274727226,1.2128614756217657,10.88264622829631,9.911775801607565,-5.704425867364302,-0.5730243058951615,0.0,-20.0,-20.0,110.0,-8.9132432446804
10,0.1,-0.9350207235447078,1.2187891393997097,10.869606921881294,9.912671282791365,-5.702849150585584,-0.5822254597966371,0.0,-20.0,-20.0,110.0,-8.902769542027466
