Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,-1.0301733937623994,-0.952253815817098,11.0,9.114956397313952,4.272204856814141,0.3406993717421913,0.0,0.0,0.0,110.0,0.0
1,0.01,-1.0221281623887317,-0.9520116432914068,10.985913773558346,9.114869490739245,4.2730777004780105,0.3366242703840359,0.0,-20.0,-20.0,110.0,-8.81689023173448
2,0.02,-1.0140835733210296,-0.9517688222561607,10.971827699761157,9.114010081595481,4.275514521368219,0.32260519448431507,0.0,-20.0,-20.0,110.0,-8.803205323511747
3,0.03,-1.0060389904998148,-0.951525994986541,10.957741627434087,9.11329938926671,4.277033948121689,0.3131413693335909,0.0,-20.0,-20.0,110.0,-8.78787445038906
4,0.04,-0.9979944818612668,-0.9512830942580965,10.94365557250816,9.112666499745169,4.278177586591123,0.30560803653118246,0.0,-20.0,-20.0,110.0,-8.773253687107216
5,0.05,-0.9899499842213214,-0.9510401848816697,10.929569519801891,9.112018492099729,4.2793159495329345,0.2980180004891533,0.0,-20.0,-20.0,110.0,-8.758834599839412
6,0.06,-0.9819054742840765,-0.9507972922948174,10.915483463471032,9.111336817748182,4.280553057520263,0.28985133473702285,0.0,-20.0,-20.0,110.0,-8.744426005046787
7,0.07,-0.9738609454371426,-0.9505544222661882,10.90139740208985,9.110632676301664,4.2818832361798185,0.28118224651111395,0.0,-20.0,-20.0,110.0,-8.729983724035296
8,0.08,-0.9658163983727008,-0.9503115735884995,10.887311335904563,9.109920196734157,4.2832771060301,0.2721957638864685,0.0,-20.0,-20.0,110.0,-8.71551295226719
9,0.09,-0.957771836243166,-0.9500687431205534,10.873225265657753,9.109208147133398,4.284709166548653,0.2630389499856139,0.0,-20.0,-20.0,110.0,-8.701025885088361
10,0.1,-0.9497272625753373,-0.9498259266830095,10.85913919228686,9.108499995887975,4.2861626704609295,0.2538003804136265,0.0,-20.0,-20.0,110.0,-8.686532496470486
11,0.11,-0.941682680524054,-0.949583120219,10.84505311668149,9.10779627974888,4.28762809093042,0.24452541776486095,0.0,-20.0,-20.0,110.0,-8.672039024243894
12,0.12,-0.9336380924529053,-0.9493403204546239,10.830967039545756,9.107096251632369,4.289100354060381,0.23523518024751347,0.0,-20.0,-20.0,110.0,-8.657548579905123
